13067	2822	2560	13363	2603	1489	10041	12614	15343	3725	5366	14163	17312	1105	6208	12458	13215	13148	3521	17194	15721	10223	7012	6783	564	10655	19992	16835	10674	4859	16848	13226	1166	12048	14974	9173	19882	12091	15816	9723	20028	12439	15097	5759	4970	3418	8236	12858	557	2244	5508	19484	1116	10068	4977	17051	2802	17393	13224	11938	6121	6524	19554	16703	18372	17528	957	20118	1009	19137	12074	9754	4681	11187	12244	10092	4299	57	5607	19872	16084	13088	13049	12783	4570	9508	1662	2192	3316	8247	3744	12784	4190	1540	19414	15103	11606	14319	10541	9262	2644	10250	15060	6796	8089	14315	13890	16168	4921	13324	2488	11274	12988	19240	17072	12672	1465	10556	16088	3543	3288	13649	14745	12058	14542	4867	15119	17940	3471	1743	18798	9329	16717	3312	15543	19684	13204	3789	19508	20092	19775	19617	1331	19156	4957	20111	2300	9270	18069	16624	10465	13177	13563	11560	3687	12698	1731	3074	15022	16289	15108	13818	3340	12168	8706	9496	11728	15491	10462	9756	7407	19195	1680	17709	9255	7245	7728	4225	9159	6701	5477
9566	46	10659	5466	272	11250	9220	5739	16495	14222	11066	10106	18152	20102	5827	6027	18678	9387	14064	19804	7297	14353	9086	4261	1081	10432	16785	12271	17169	15156	17547	1862	4479	19752	10512	5880	18188	10545	16178	11822	15873	8465	1976	755	9761	10028	8017	2130	19207	20039	19743	8802	2786	19071	13891	4341	18147	8134	12615	14269	19332	4725	18882	17326	7608	3833	8146	15579	17966	7603	16085	16145	8488	7443	5550	2749	2325	19070	16156	2894	5208	4797	8691	11185	13375	9568	9336	11800	2280	19116	9398	6458	17194	7506	11405	19932	6352	2795	4378	10986	3763	16989	5645	5935	19335	1502	3377	2655	2364	18467	2349	16488	16097	6279	7091	2426	17661	15698	19495	944	14729	4977	9696	38	16697	15416	3177	16239	15585	19925	15449	17922	15117	2081	10982	15096	14771	4578	12910	6102	9675	10695	392	17604	8250	15031	529	8265	8792	18625	182	15018	13862	12471	2961	19700	4891	2996	19378	11726	1320	4700	13573	16289	9255	17951	9378	15108	7072	5785	17120	18981	5204	1680	19842	5477	14360	7340	15731	15022	17007
9311	1791	5287	12294	8424	2889	12093	4652	2888	4577	15095	1140	6077	11496	12637	7187	18396	5830	8660	16626	12935	18947	15066	1509	12829	5887	1549	4243	2534	9397	17126	11941	446	9304	15695	8398	6570	12192	13900	10981	9874	1067	12695	5611	3257	13327	19030	12206	13755	5017	8643	19603	3629	20041	20167	11925	1532	18006	3644	11618	18896	15244	9109	7964	3947	17502	13205	3781	8332	1469	1610	14598	16800	1182	17457	2877	6837	17883	7528	17732	9243	19494	4951	113	10755	8044	11915	4004	16982	6921	11287	5243	19404	4275	1287	17001	313	547	15644	11687	1146	8345	7336	4534	13513	12716	11448	1027	4802	11084	16366	10373	1104	14758	13376	7943	6517	12529	11748	3634	7664	485	3667	14957	7628	14544	16345	5177	6072	1954	7182	10068	7368	18524	2701	11860	17758	14529	2591	8964	10288	10007	1621	6856	13220	12339	5995	19964	19378	13862	5486	19763	18799	16986	5784	15026	882	17293	16964	17390	7245	18107	1731	10389	12078	10080	15731	5477	8792	975	4262	8706	3687	11560	5847	7340	18069	14226	7072	19517	6646
3091	2926	14294	13869	16935	4807	5403	13992	5904	5249	1176	11271	18958	2820	2192	8995	5200	2195	4648	12452	19998	13152	14973	2176	14958	17009	2286	16699	8577	19758	11084	12592	15243	16779	17237	5279	15665	10512	7948	451	14985	17800	20010	5135	3200	18945	67	15221	1831	19638	1896	9268	1786	1669	9655	8599	14292	17431	4753	11986	9327	13267	5792	13850	3541	5519	18740	19170	4884	7846	11362	15440	19992	16249	4781	10978	135	11279	9737	6307	6121	20200	17342	16429	12580	13558	19671	3324	14363	2755	4790	7980	10151	2385	16413	16670	664	17416	2370	1546	8464	5285	361	10156	6410	3576	16118	8189	16055	16308	14299	16634	14615	1535	15021	5307	6743	2803	2194	12898	2696	8941	18084	16703	1027	1237	14499	17947	18824	11498	14646	19582	5680	12305	17886	13824	18040	18017	6892	8058	15237	2038	17901	15269	14667	2045	13567	16615	18460	18343	10488	10442	17244	19763	19435	16289	1320	7407	15108	2996	15701	9159	2638	5785	15784	12598	9378	5718	19780	11137	17077	4662	13892	3202	3871	11726	17007	10298	10856	17293	10616
702	14438	12770	16200	14017	12577	9563	16485	14147	18349	14696	5918	10086	11777	15938	13003	5988	12888	10278	19508	18322	18862	16634	16670	4012	19865	13555	11744	5761	14428	16716	10263	15882	11209	8988	14659	10791	2542	475	7305	19194	916	9116	16934	1994	5663	8880	8806	10810	16501	8859	12952	15331	14644	144	5467	7526	8879	14927	2132	18687	9101	7916	13893	18982	8881	15203	17052	3172	6873	6348	9075	19110	8625	15900	399	19170	3047	18283	20192	12580	15996	9002	13260	9139	14343	3914	5475	7217	7195	344	6291	5101	12817	10325	1267	11753	17341	2343	18006	2641	16203	3885	18084	2175	1642	10441	5126	7842	8239	8272	5434	3891	11994	1221	9364	4184	7470	2361	20057	13147	6561	7763	14988	159	18096	4802	10868	373	14417	2715	4620	14948	372	13388	13779	12969	4773	16948	1105	14372	14150	15889	6638	10675	17479	12167	17894	13092	1191	15701	2638	10389	14226	18625	17709	15108	10002	5785	15123	4096	3720	18997	18938	8252	4048	11560	13177	11521	12698	7870	8583	16964	18290	10616	4134	9378	3871	8855	17387	1320
6021	13175	12856	12709	14042	8937	2460	16319	8757	11384	5548	17571	8130	11115	13866	10950	4827	18388	9577	17072	2035	4151	4542	218	7901	5011	13440	13103	5719	15323	14723	10796	5607	8671	4242	5207	12955	4207	6397	1517	4509	11794	4065	13721	11097	7496	4650	9681	10163	6939	5304	14003	4589	9581	10592	12733	18174	12	14999	5189	17569	2714	11823	4078	7374	16115	9433	13047	6649	1271	5616	20111	19410	6899	4802	19519	7638	16716	5152	15324	18286	14137	15724	7348	7718	2642	13843	279	3201	19878	10964	2657	13891	7736	8603	4427	8588	1522	4871	10011	11907	17263	1485	15336	3571	12295	10674	5071	2997	15347	5298	3764	17249	12871	15370	17599	14862	5602	15585	17661	8259	17939	19084	424	12705	12152	11673	11604	15631	7694	19369	15819	1359	419	3181	6948	6007	17400	16020	417	15815	2962	4544	9310	8289	3754	18298	15781	11265	19195	3340	18938	18092	17387	9877	18981	5204	12921	3064	18799	616	4596	18069	4700	18107	1744	16104	19842	4891	11728	10488	2996	18544	17390	14072	1129	13573	6646	18997	2210	17007
105	18253	8424	17036	6032	18670	6866	5861	14474	3598	8568	11261	10040	12092	14159	7323	5673	7355	14757	11492	8251	12359	563	870	14067	12501	10179	8523	1637	11850	20164	2833	5593	4121	547	11158	15986	215	13362	3533	6990	2123	9397	17481	3319	15819	12875	16699	18232	4733	12325	19192	4006	3191	17156	11419	17954	4822	5633	2268	7716	5483	8544	8138	2924	19320	1344	11157	19973	9243	113	1105	5417	8312	1725	6080	17919	10105	12333	14658	4270	6337	14890	16670	1319	16623	9348	8486	17091	13135	14781	4771	4445	14133	9687	16735	13924	1533	1540	14682	4845	17221	1771	125	16357	16712	2440	9738	10561	8068	15608	16676	19623	470	14847	18774	19357	7239	12167	18101	17169	15134	3272	3744	993	751	4498	19093	9662	2548	6165	11160	2730	9276	16626	9777	16880	4634	1143	10222	12530	18629	10503	5692	11383	11986	8872	18735	10898	15809	8583	4741	18455	4891	3221	11726	17390	12565	6701	2996	15784	10672	15795	15246	6537	9377	15701	17269	11137	12471	7407	19700	2842	4225	16964	12840	975	4700	10488	6616	18544
13763	12073	10261	11375	747	5712	10795	7797	15467	5370	8735	16559	20182	557	12151	19160	3663	16920	1131	6376	16833	12846	3044	6702	17547	15158	7448	2247	148	13354	14795	18980	15204	1282	13004	16472	19913	6295	13241	4914	11185	18743	12969	5951	13606	14497	1993	3028	52	399	6690	5811	1275	19901	4380	816	14364	319	8244	19044	2216	11528	4819	9112	527	14783	10978	3737	11508	12320	5641	1258	15643	12050	16079	7875	6052	12246	10423	8513	14378	14150	452	17118	10165	8725	9748	9018	16154	5003	6911	5856	15269	10995	8249	14355	19083	11495	14748	13401	12988	7260	3130	11944	3262	19803	4219	13061	19513	12593	17771	334	8354	9677	11837	6718	17319	14381	2763	9568	18220	8335	19461	3756	8027	17804	8239	11899	17041	1607	6382	5877	11067	12144	1691	11442	10855	19802	5821	19110	19119	7616	16047	648	11087	19474	13532	3463	5204	6616	6710	12821	15731	17390	8706	4096	5477	15491	16964	10298	17888	1731	10856	4617	4891	11137	12598	8252	8792	6057	2618	2996	11728	10080	10578	18981	10465	14226	10616	15809	19143
5220	7714	8413	7969	13014	12349	2944	12348	17357	18471	599	4632	14463	7570	11477	2271	14635	9821	15714	19243	14987	8737	18647	17473	6103	13505	8438	13125	10591	253	7343	8483	10384	7864	7336	11794	5116	18002	4376	15459	3792	14922	18862	14665	15412	1719	15361	14008	10302	16777	2608	86	14373	12457	13722	11121	11234	19907	4460	1808	13593	16027	16471	7379	9436	9270	11625	13358	127	15654	4341	19796	14248	3029	13068	17151	13705	4532	20171	13061	1506	6762	17839	11650	17075	3729	1459	12803	5125	15047	2501	11083	6677	13771	14434	19867	2187	4384	19881	9757	8096	8621	16572	8541	19749	19989	12411	11119	6544	15297	17768	15085	5581	16346	4965	18174	3973	3684	7603	4036	16391	15644	18220	13099	11362	17635	6431	18448	5038	17019	1718	10463	19859	6056	16386	2320	17931	7206	19889	16186	3899	6202	9203	2994	17583	336	1282	12309	11265	10488	975	8252	942	17387	7245	4587	3687	13818	6537	4096	7870	3074	11726	2618	10462	6701	9159	15108	5718	8129	15766	4225	182	12521	17077	3871	1926	12471	17142	18625	16986
9187	15782	16668	4076	10220	13497	14275	4317	8029	8634	5918	2412	1993	1762	17904	13555	7782	13325	1885	9516	14773	16290	466	11483	19632	13851	478	976	8360	11808	18548	11443	13245	19251	16118	17212	19782	14792	14394	8701	12396	9422	17272	15781	18562	13689	7157	17083	12259	13392	3817	12477	4614	3084	4072	17996	18014	18036	12935	13969	12562	14524	11693	13418	2624	9904	10001	19079	17129	11550	5804	9701	79	174	1189	4923	19996	19928	1642	19804	16162	4804	5706	388	4350	7417	8528	16898	7790	17689	6887	11739	9270	19314	12735	9731	5937	17342	7675	13069	13252	15255	3944	1864	3610	9675	1598	5942	6172	6208	609	17450	19110	12233	14636	1720	17549	16817	4146	15791	5223	3910	14309	15264	9189	3070	5917	3018	1290	13888	15586	16409	19913	2050	11775	2045	17721	14354	16442	5224	667	5977	1340	2917	7531	7236	10253	4039	13818	19991	16986	9255	18308	9377	5486	17269	3074	11726	16624	12078	17557	10672	1744	18938	14072	4662	18088	1444	8792	12598	4700	16289	14226	19700	17142	11350	2555	17888	15795	6537	15731
