12331	1618	4076	15183	8525	4638	13144	18390	17338	14321	3060	8612	15059	10710	1843	2516	19890	2067	18016	10260	3111	18823	11973	4829	8340	6909	2092	6968	12562	1994	17466	10839	19903	1005	14866	15549	8625	1977	19374	6470	17031	9921	624	11412	19715	3847	180	9456	9065	15618	3379	9616	14795	960	19457	8547	12729	5685	18273	18025	10806	15829	19660	17872	2715	18964	18916	5839	7228	20175	17082	2689	14896	2750	8231	13492	3937	17958	9754	8880	9629	14883	19170	18361	2757	12623	8048	17489	4841	15249	4951	4050	15347	7275	1781	2555	4700	7728	1926	13892	8129	19378	18107	5204	15018	18455	7250	12565	3687	6057	10298	17888	17120	14226	1336	975	18981	9159
15224	4372	1351	7579	15658	8888	9374	17928	9597	16345	4479	13939	9270	12206	3644	4544	10233	15379	8256	11544	16379	6568	19250	9430	12149	7992	7375	8154	1712	188	4171	15750	10152	19221	12667	4277	1828	18639	2448	17736	12988	4209	19544	3566	4767	17780	3060	18753	16238	1084	14522	13114	19401	11200	13782	16938	13958	14345	5852	8527	15237	5772	10018	7585	16448	5159	16954	5359	10300	3878	3172	10454	563	2911	2805	9137	2652	2445	12967	10007	10830	6611	2442	1141	19364	2802	18299	16812	439	7354	8214	12984	14362	6949	7369	17293	5847	17888	18981	19195	7870	8706	11726	9377	7340	14226	8129	15784	4048	13818	3202	12840	18799	18938	2618	9255	13563	15018
13451	4577	5004	16928	19336	1970	14324	3778	15388	6733	18896	17665	10315	6952	12618	8381	4329	8821	18135	5850	13422	18868	16193	1845	6932	13850	12139	1596	16711	8851	1215	10043	18893	4321	15692	15641	12534	8813	19883	5939	1329	5050	9422	17950	19063	8625	8049	2268	13557	7152	11635	5494	1337	10374	16494	7576	2687	17964	18238	1428	1546	7368	7433	18639	18147	15841	19457	1654	16830	16736	12792	7107	18501	49	8778	9903	6911	3704	5026	14306	11913	8185	1793	15403	16562	12154	8077	19950	16012	20077	19534	12647	4059	12532	5217	9756	5784	7245	10616	13563	8706	15795	18107	15018	2819	4048	19842	3871	12698	4700	16624	18997	6710	17888	15773	15731	15491	19517
5092	8664	18207	12996	20059	8174	13505	20022	8488	3555	8358	14276	4220	12246	13603	9535	17789	16647	19765	18112	1037	12198	18617	2703	7708	20192	12479	15392	3354	2951	16349	15138	10589	6192	17885	6563	18850	15585	13120	14279	19663	11922	7290	19189	642	12174	7616	7178	12328	9327	19399	9865	18661	8403	11246	18586	2440	8936	16975	1526	12152	19102	5732	5895	113	493	8273	652	5843	5521	15169	7808	15530	8691	4149	11017	8710	1362	6468	15672	4235	16982	13406	13524	2445	4505	11975	9425	6304	12807	5138	2385	466	4589	15756	3720	16964	12921	14226	1320	16624	11587	942	13818	15784	19517	2819	17007	17142	6057	11901	5847	18799	7250	5205	7072	1926	13177
3302	10392	638	11995	11429	268	17381	16930	4957	15958	1703	8099	17414	14345	9560	8326	1722	5015	14293	902	11637	13539	19125	6412	10874	13668	14913	8736	13127	14688	3501	12668	19026	13575	11129	18448	6838	6709	1209	7547	991	11673	4623	10934	13010	5091	17935	5732	17608	17146	786	16564	7929	8880	7622	19268	9366	10994	609	10007	7292	11127	9404	613	11597	1486	541	12560	16981	16508	17604	12589	14979	13389	3133	840	9716	7630	18117	2580	8774	5341	7625	19324	7182	8713	3902	8770	5134	8672	2504	12962	7046	14047	11181	18092	2996	17007	13573	9255	10462	2210	10080	3202	14360	19780	13092	6616	2555	18981	17557	10856	7245	18343	15784	8100	7728	15108
17444	12361	18495	4905	8347	6002	15802	6469	10947	18683	19556	4966	5673	4897	20175	9209	9645	1036	8544	17847	7980	9280	8809	5436	1037	1206	623	9667	1553	17334	1990	4199	12233	18469	4086	5028	19521	18151	17735	9918	15764	15469	15842	8049	9495	18672	11938	14102	16815	18321	682	4459	17635	13464	14035	5856	7808	14776	4739	12069	11557	11475	16478	3612	16391	4920	16697	375	15604	11748	129	3187	266	8004	11247	20199	1660	8719	6144	12562	13433	13709	13945	11400	14153	5419	13542	7929	3294	3940	15852	10600	7013	20193	2845	3871	18343	2819	9159	7407	17888	10856	15731	5477	18092	16130	5204	11521	3687	12565	10389	18981	19517	13892	7529	12521	12821	18938
15956	9085	5649	14147	11120	1989	14229	18696	16894	4110	4460	5231	3792	1023	19051	4396	19137	4188	17664	5769	17970	19066	10500	9736	20010	14340	10639	14312	3918	18392	16688	16062	3410	1089	15899	9054	13649	11976	8230	16345	8451	3803	3808	6575	9243	19484	9299	15194	262	20048	8517	1329	18265	14123	918	3640	17719	5347	15146	11122	9592	7285	2674	5367	3343	2196	16323	10170	10558	850	4004	6740	17840	19853	4263	11052	2194	14857	5431	11058	13757	7976	19747	13244	16699	15830	16283	10075	16354	10086	8119	14747	1242	2361	2468	1320	10389	17120	18455	18997	11587	5205	13573	10080	2996	6057	16964	2555	15701	942	16130	4048	6616	9756	14226	17557	17280	18799
18670	14696	5777	7773	2380	3958	8821	16913	9210	16720	12311	14590	13399	14532	2932	18238	15207	10317	4867	20023	79	12214	4680	8299	14110	13192	10277	3017	19566	2011	20158	15905	14312	13732	1522	13507	4189	17900	12255	3130	15046	9583	7014	1485	10834	13792	14615	12623	16240	10018	116	13012	20154	18315	14794	10206	16766	9846	12010	19899	6644	703	19393	9928	16470	3126	10453	18097	4236	2461	20084	15253	9822	5633	19141	11721	592	5340	16016	13038	5118	9580	620	723	2045	4946	11441	884	14326	3990	8921	9166	20055	1157	4143	19195	3720	5205	6537	9378	15773	12521	10298	3687	13818	942	15731	12921	5785	19435	15795	10080	17280	19378	17557	16964	11901	10389
7471	12640	12856	14409	10252	19616	3926	15568	110	10968	4091	187	15235	19928	14168	4867	3567	14506	19938	5292	19540	19138	4910	7527	13368	14928	7498	9290	3525	16746	2925	928	5478	108	19813	14352	17459	3604	18931	7290	18948	336	5679	2609	4018	1295	24	5790	9536	4806	19307	14454	19721	18928	14791	8494	6258	17046	4021	18449	8324	16079	9618	3990	16471	13601	8745	13231	1498	4861	296	8065	8671	6266	1612	15811	8036	808	12951	17659	7189	9379	16930	18066	15305	8654	8999	7448	16275	9232	19767	648	18190	19782	10534	13177	10298	12521	8252	7870	6057	11726	4617	15491	4048	17888	14226	8583	5477	3720	15773	12565	5785	9159	15108	8100	1926	18938
4895	6416	10216	11080	5007	9187	18293	11911	10280	13495	4621	4148	14878	2275	7294	20185	13802	4884	18777	5685	7918	6128	12359	15140	15030	6127	222	18147	17968	3373	17191	3719	13436	10434	17225	9038	6836	10227	13963	6690	15588	15672	8438	14231	17030	19152	11912	9234	361	15521	11664	2874	3566	19393	15932	6214	11600	6381	2289	13590	8156	16085	1000	13225	14697	11810	11596	3661	17257	14546	15549	4411	6948	17661	9077	12620	14876	7748	6347	18727	1630	10911	14384	5081	2483	506	789	15517	16649	17918	11017	11704	132	7930	8460	6616	19435	4048	1336	15731	9377	8252	3202	7245	3871	18088	10616	9378	18308	975	18981	18460	2210	1926	10080	16130	19842	9255
