16680	3923	14438	10776	14385	14014	12459	19546	18771	15222	2711	8424	19460	4299	20020	11972	9914	8808	2673	19959	7507	13819	6140	11223	476	2624	18292	3035	13038	367	12034	2301	5375	9327	5889	128	6969	17340	11482	17533	6106	4784	12999	983	9544	10686	2105	13527	394	9737	10163	8265	18503	2957	7954	10022	4533	715	15482	6117	12483	8071	4896	6248	5491	6024	813	7948	13880	16611	4847	11185	16176	4154	348	16493	16267	20185	2241	14109	19937	17687	15542	2797	15021	1201	19421	18837	19610	7742	18277	610	14368	7031	6056	12449	1669	4334	12055	931	6038	15284	3683	1295	17838	7566	6755	8951	16655	19283	2689	5233	2923	10351	11807	226	5067	18031	458	15845	19615	7625	16327	10447	12021	5711	19360	8449	19152	6578	8484	8200	10622	15023	11153	8965	1952	11277	4520	12435	62	5706	4056	1727	9502	13800	7472	8398	7296	13191	5116	15097	14047	12819	19218	15942	6358	4027	3299	10891	429	17409	17251	11726	7870	1320	12598	15026	11560	10389	6057	10672	15246	1731	13892	4323	13092	17709	8855	3221	9756	975
7871	562	12284	3896	9898	19291	15130	5407	2030	11847	16905	10724	1464	9615	2542	2835	19733	326	7396	18443	12038	10170	2268	5371	3444	12473	15314	1907	18725	17991	9338	1334	8835	3943	18450	6786	15542	6632	756	14435	16043	1815	1432	18589	11618	15098	9184	15153	13745	3420	13432	13304	8260	5856	12215	16610	8460	10833	12441	15318	5779	12829	15774	19774	20060	12056	16508	6435	12898	5346	10596	9277	9433	746	12402	14723	18745	18231	14731	13397	5617	8994	16218	1920	2983	12757	3006	8153	8489	843	4759	426	4815	3547	4334	8592	12812	18109	3391	16845	19557	14622	13809	17100	7594	10870	12861	5350	6050	13803	16651	3471	11342	16458	16409	4086	4060	5253	12869	8442	6968	661	862	6637	19026	363	13918	11145	13635	8405	18314	14210	5434	12273	15449	13764	10552	7935	4459	6674	8019	9737	15633	8696	4360	7264	18222	3462	3531	2951	10183	16091	8161	17393	13456	18581	75	4689	1016	2649	3279	16391	15604	4596	5718	18069	19644	17280	1129	3871	3340	11587	9756	19195	16289	13573	11901	17390	19991	4323	16104	17951
19096	7108	3119	10321	6515	7011	2319	4560	10479	8039	4788	9684	2732	3937	11124	5417	7095	5349	3651	15038	2398	2538	7906	1436	12031	2590	8680	14585	19086	13658	19306	17986	16460	1213	19095	6497	6312	6542	12645	17811	4044	17509	17315	2990	10640	18619	9328	18995	9694	7307	19367	3989	9523	15979	6575	15772	8604	3255	13525	13436	11459	19516	19370	3656	19867	18817	9390	10019	6040	2811	8239	18117	3900	14030	2611	19123	4359	9519	9666	4932	4614	13929	4753	5094	9696	5090	4719	14258	3165	12674	1058	208	14456	5313	10274	4442	17970	5039	20044	16920	1734	4291	8201	4153	6632	4479	3960	2043	902	15321	14454	5323	12999	17844	8549	12613	10387	8429	3605	4899	7674	202	16254	1344	13357	18756	19163	19497	10669	7976	2669	17199	11058	1631	10191	19717	17791	16828	15650	11636	13413	17028	3954	6746	3902	4841	15567	10625	15926	13589	4457	11414	7612	15198	5325	15448	3660	5661	3363	9403	17659	17460	16666	942	7072	15795	12521	8792	6701	17390	18625	17269	8706	9377	3340	12921	7245	4596	15784	7340	5205	9255
4940	2412	6026	7562	14446	9977	10658	4346	15934	1172	6268	10098	16451	3350	305	19890	1082	1886	264	12516	9021	4878	12747	1830	12245	294	16306	9699	648	6171	11750	17636	14508	11466	13717	3322	4510	18360	7118	6392	18236	16687	10635	4819	12660	6365	8277	12328	5642	884	939	9373	11538	14905	14625	14948	6969	8250	19838	18372	11508	12362	14031	10622	2453	17031	6297	10280	509	16815	2636	12479	15093	19239	12896	2880	10566	17744	17641	9107	15487	12400	11740	13716	16091	8425	18511	3467	2811	4921	7765	2701	19615	16012	10883	8104	19899	6235	15301	14785	16615	19585	1630	18718	17872	17885	1450	723	19521	7345	15586	20129	15574	20022	10509	5724	11917	3986	18743	10733	1861	12708	16407	20208	6929	2850	13170	12692	16462	12533	13681	6108	413	18988	17648	12751	15913	6849	4153	1237	7459	2056	8073	186	10600	4059	2101	18416	3760	3435	5913	18501	8016	15258	7634	4275	14665	5245	4694	104	8552	4306	9119	11726	8129	4134	7245	10465	10488	9496	17843	1336	11350	16964	5204	4741	17120	17390	1744	3720	5477	2961
4417	9471	8905	10612	7706	15865	1174	15967	14924	6198	12506	18138	12700	10323	2612	857	12499	1954	5991	1241	7470	13046	16127	3188	7478	11787	13484	11637	8545	2408	7619	6684	11975	2676	19618	17450	18854	15574	13217	20119	7892	19597	12672	677	4017	15314	10491	17804	10516	3443	2708	17140	15631	1299	11084	11260	11707	13930	802	980	20149	11625	5338	10043	15297	10916	13728	18433	3605	12313	19065	17165	11496	3799	6054	15305	4264	3913	1876	18421	7408	9940	5583	15641	245	9052	15988	5112	6518	8259	8995	623	6449	3872	12069	16548	104	10670	17720	17883	15153	6176	15919	9830	16882	7649	7374	5342	15358	1687	11829	17484	4588	2027	7452	3339	17683	5913	9453	19401	6278	5086	14870	3075	7142	13398	6212	6971	17055	14492	17992	17295	4641	11310	14123	1321	2501	19571	12684	13213	9800	318	2850	3124	10792	13089	974	7765	17853	212	11907	5838	15036	19995	987	5856	24	19219	5	2797	8639	18006	9941	4048	1336	11521	7529	7870	9255	18308	7728	3687	15731	182	15701	17244	14360	15123	7245	5785	18997	16964
1761	18694	12011	300	6368	8424	6189	18170	444	16569	4846	8908	17226	16709	10753	12496	5818	13394	11262	3030	6009	7742	6892	1407	16440	10079	4501	3530	16510	12950	13413	9445	19120	1642	16700	11799	296	5390	5726	19830	6382	2916	7268	1733	16341	20198	8519	13515	15519	17189	6775	11055	604	6184	1906	18162	4945	19885	11638	11610	14287	10986	6034	664	18632	17812	1804	10673	274	8124	8282	14224	14512	7998	16843	17625	13224	11150	8559	8778	13481	10029	18810	6064	18174	889	12010	14506	11695	10755	10413	3336	7362	1368	11753	17204	17403	4386	17009	2562	17481	1258	1414	13709	17322	2549	10614	19976	19989	15569	4871	5250	11254	14440	17433	10990	12132	13526	15684	7830	11301	15493	3690	4510	9723	317	14999	1991	445	15243	2042	17491	15201	13370	6022	8534	18970	12890	16961	12340	16265	9204	5405	5917	9086	12560	4739	19078	6511	1656	6436	2710	11974	5478	15117	7354	13898	13317	15379	8369	3293	14549	11721	4262	15022	17557	15766	882	17244	11587	14226	7870	1168	975	4891	9255	1129	4617	6646	6537	15701	12921
2497	19631	9165	398	18145	133	15907	5403	5649	12398	13798	17027	12039	9723	3465	7913	141	10029	17458	18097	18339	1859	8641	8166	17759	19232	13057	12537	19920	3989	14368	17326	18346	11795	17910	18185	14636	4452	5162	6838	14998	14179	10585	13971	6787	18111	10365	1147	11301	11279	9691	9415	6224	14339	18913	5178	9924	13764	10841	12641	2534	9113	4235	2556	15158	6287	3966	13203	3126	11185	18178	10301	15055	8269	16731	6555	10243	8141	9431	10076	8921	13193	13225	3431	11251	17541	505	7672	5719	8798	1915	6248	6014	14373	12835	14156	1171	1182	1568	1786	3928	3784	1276	17323	3918	8116	14772	12159	9379	3078	5603	10396	17327	5742	17618	10726	16177	7354	7568	16777	18325	13616	13309	7308	1293	6473	859	841	16024	13450	5949	6939	8320	14591	1187	14055	13724	8994	3832	8188	8577	3524	7951	4501	6645	6171	10068	3045	11674	11994	15507	8556	4951	10221	4049	10196	15114	13777	11923	19998	195	14685	11628	4587	8252	18938	10488	17557	4225	3202	2961	3687	882	17269	9496	17387	8129	616	9378	182	11901	1731
13591	5366	14085	6610	2665	15924	11667	2412	10489	15934	16897	1426	11652	10327	13343	4570	16049	16840	6572	15032	8119	2107	9621	15152	19111	6875	19149	694	15239	19496	9498	5583	5252	8062	9301	13555	7343	3639	12923	3062	9661	15030	9728	18872	24	6791	6929	11222	19005	12529	9280	2675	15881	10205	4036	4098	4987	920	602	2692	11110	13583	17476	12069	361	11785	8609	9522	3729	6217	684	6454	16653	16099	13003	9373	5868	16501	15340	1598	19901	1728	7929	11048	10634	15070	7165	15611	10150	8351	2489	6811	4522	9023	10942	15824	15572	8860	7249	19372	7601	19558	20048	6401	1913	18209	4102	274	11157	11913	19715	10567	9875	1460	14052	13026	8497	5537	6994	13137	7845	17493	2216	15586	3623	19270	7288	15798	15184	3808	6180	19301	1465	18979	13536	10284	13347	10585	11512	1900	8486	12583	7299	6459	7753	4622	8870	3878	8902	7678	12433	11811	4564	2602	5459	3572	11249	4766	11569	16799	17167	6673	19447	17007	11265	4700	1744	10578	1731	4662	9496	6537	8583	4741	18625	4587	8706	3221	13892	19378	2210	15701
936	14984	5735	11196	8507	1140	9417	2668	4286	53	1426	5883	3302	15746	10065	19163	2436	19118	16092	11627	17947	18638	10761	15236	13819	2426	15031	11387	9252	14114	19381	14985	19017	257	19747	13466	16488	7408	13863	3913	3335	1628	10097	10697	15764	19724	15371	10226	3178	82	17675	13344	15909	19715	16890	5441	592	1293	17330	1646	3588	1309	15297	5617	1518	13671	89	8679	11191	3533	15148	9629	11181	18475	19931	11458	8810	14451	12938	14548	14531	6339	5299	14309	11795	4204	563	18841	5611	8880	12190	12069	10237	12922	2356	12067	1000	12465	10159	15842	13534	15245	1206	1462	11105	19732	15285	5724	13722	3339	18318	13664	11127	6263	6346	9824	4064	448	7743	8889	15749	17083	1372	17811	12251	16545	19800	15517	5367	12217	6331	16965	5229	367	17257	4327	2750	14900	5260	14187	11128	7536	14530	4552	8994	5481	3618	7095	17866	3801	816	9588	16275	10839	14149	5112	7022	9600	15780	6906	3217	13928	17958	19700	15123	6646	5204	9255	11011	6710	18460	4662	18092	14360	10672	19644	6701	13862	7340	2809	11587	4587
14089	19960	4543	9165	3952	8920	2444	13257	649	15157	1919	4429	18704	4526	11770	5643	3948	16025	1870	13440	16113	17808	13168	4016	8370	4326	8782	10327	12105	11045	15324	3519	6039	1080	4380	20073	868	9721	18563	10897	9597	9749	4156	19230	5442	7672	7134	16545	4228	19401	13	14755	10425	12352	8679	17943	4103	11179	5390	12686	3486	13907	4149	9472	3035	19461	15305	4915	18558	18662	17695	19537	11533	14411	8092	10088	5414	2020	19482	9808	3549	2504	14647	8818	6390	18661	3629	14913	2811	18911	8340	13325	9716	7441	6163	18052	15416	6263	12738	7203	11764	1031	18346	1428	6392	14393	4205	14581	5537	7701	569	14227	15687	7157	15480	12457	2640	10637	1757	6777	5536	4499	16366	8425	18909	11333	14419	18483	17970	19375	11413	13969	15069	12812	13578	787	16933	6179	18971	18556	2682	12262	528	7999	1888	10748	17929	17501	8255	14862	9997	6365	8187	15791	16322	14293	11707	9243	13327	8599	11256	3130	15942	12598	11521	15108	10465	5204	17244	3221	14360	11137	8252	9377	15784	9756	15026	15773	18544	11560	14226	16964
