7232	19269	10969	18083	11380	3236	11134	9866	19090	18140	1945	19390	8672	19815	19107	14613	18179	9054	10544	19757	19928	9038	3219	5545	14881	19507	11850	13326	1307	9274	8114	4422	15413	8224	15554	16109	10604	3777	8730	9065	1360	14110	9330	3235	7674	7853	2565	13841	9207	11839	4690	7242	12467	15771	12464	19114	1584	12643	15836	1506	3961	15371	12657	1441	12176	5026	14966	20007	14927	15647	9797	8810	4911	4223	15710	13539	13513	15221	2174	463	4326	11913	154	15752	1757	11906	6197	6246	14159	281	8983	17334	15216	8838	6258	9157	14756	2367	13254	3188	7431	5163	372	4606	491	13247	11941	18537	14456	4125	18892	12	16486	3639	12556	8917	6231	19085	8319	12634	10684	591	13508	16270	6747	19676	5022	19865	2484	2727	2874	320	19317	18486	4741	19378	12840	19991	9756	5847	3687	18997	15773	19780	7407	7245	12698	16624	13573	7340	18544	10002	1731	3202	17120	10616	8792	12521	17390	14360	11560	8855	12648	4891	10856	15246	9877	5204	3720	18343	2809	19143	7250	13563
10844	17967	3840	12485	7554	7711	10880	13117	12761	18142	20112	4169	15717	10066	1301	869	3411	13168	4473	15762	5095	8882	10141	861	12333	14451	3474	17141	2667	8660	7065	4759	6458	14770	5834	5123	11248	18631	2852	770	2006	15919	4168	9820	12180	19745	2549	13948	6140	18512	12923	19677	16217	9040	3967	18033	3272	3365	322	13717	17972	13186	8824	12984	4030	19286	2829	19577	3506	15485	17558	2580	797	5162	15199	3702	6145	11826	16866	3639	5610	8847	1550	17859	9413	6844	12754	16045	17748	10770	16243	14856	15675	1859	5207	9366	15087	5244	13841	11829	7401	3201	5157	6063	644	1184	2796	1116	3600	902	1190	2483	10891	16585	3042	13917	2157	2565	5536	17541	13870	10990	15513	8223	13802	10855	8023	8436	15508	11222	12657	18600	3541	15405	1731	19195	15491	13177	3074	18343	1744	182	17888	18938	1129	18455	16624	12565	15018	18092	9756	10462	7870	5486	17142	4741	19517	18460	10080	10002	17244	2618	975	11587	15795	10442	5847	7407	17843	1336	11726	11728	19842	2996
12649	14063	11719	5449	16451	15091	16139	6492	2137	6694	8498	7258	20065	19813	5774	9644	4351	7524	20077	16462	9430	13115	2692	12050	10376	19162	8854	14058	6609	7990	11124	14150	10580	11226	16932	15191	16316	384	12148	7752	14614	9294	2251	9390	19170	1487	14809	718	10043	7659	5085	16721	1971	7755	17881	1665	14974	2969	13354	1777	19556	13729	19944	10999	19862	12085	10345	13222	13866	7274	2134	13769	6522	4334	8196	2884	1690	19458	9218	17424	11205	5410	11538	3366	14315	15802	4914	12833	17910	11245	4841	8249	4291	8262	7846	6932	19925	200	5109	13849	12130	2797	11809	7292	12435	5107	18125	7962	181	13855	3188	3976	12356	17097	13427	57	16643	7943	4084	6490	14782	20015	19147	9077	4034	16201	6155	3162	12606	2213	2774	4641	2260	8431	17293	9877	8583	15766	7245	942	1926	6701	5847	15809	14360	19991	3064	14226	182	7250	18092	5785	6057	4096	7072	15773	12565	10442	15701	16104	10672	1320	18290	16130	19700	17843	15026	2961	17007	17951	12078	11521	4596	2842
14947	2326	16875	3406	15799	17113	10955	7112	14915	1176	7706	5352	19176	15982	109	12473	868	17162	12690	16308	426	1738	14485	3586	12589	2451	7413	14149	18745	8914	2713	10507	5997	19190	6311	15179	16815	9230	2458	17221	3678	15364	15408	10356	12594	12727	8893	11331	20205	14135	15757	11177	12031	3977	1022	3078	18914	7963	11225	11626	6884	457	13624	14370	14027	15305	12344	18696	8310	2820	1678	9001	11961	18807	4644	10669	11444	6551	8107	19150	10373	7443	11808	4808	14343	20108	12887	1558	16369	1213	18147	8358	19405	14665	13289	9041	863	670	1328	16232	17504	12647	1763	7193	19187	15357	4122	16037	12209	17338	8835	715	15622	1010	16429	8079	17828	7664	1695	14663	13865	4124	14681	18068	9280	3198	7632	19944	9710	2506	13770	12054	19178	2835	15809	10856	7529	15246	13177	7340	17843	18092	8252	15022	3871	15784	13092	9377	18625	15773	11726	1926	10488	17280	975	10672	1336	17293	18343	10002	1129	8792	3074	882	8706	10462	1731	4262	6616	7250	2638	18997	16624	11560
12554	14736	4512	15300	3753	9235	3982	12097	12966	19054	15557	12335	7203	14948	19850	13946	10821	2917	10139	4017	7266	2831	2737	12431	2361	2558	980	13137	3025	12188	14249	1134	11200	15227	5462	6933	6326	9963	12476	6350	9021	338	11786	11853	3524	10858	6539	19359	15471	9147	18640	5897	7642	15758	18526	17941	2768	6180	17221	17966	16066	18054	6722	2079	18021	4803	1449	5319	17224	11189	11138	13690	18407	9444	15633	9088	13212	11822	16922	16985	5981	2920	646	9503	17711	1853	9383	15235	15481	7213	6376	18988	15158	16570	10900	5231	19558	8954	15097	17254	4319	8071	12489	16429	18448	4347	6253	2565	5953	3754	8896	8550	5326	10168	13344	8463	19870	18611	13602	17614	14630	9214	17428	19682	735	10852	19164	18314	9991	18987	9704	9530	13558	898	7340	17244	9378	14360	7072	4700	3064	18088	5477	7870	18343	11011	12598	17120	17293	12565	3871	12521	1444	17390	13862	6710	182	16104	9756	18107	3687	15795	15809	8100	8855	1744	11728	17843	6616	10389	6537	3221	5784	2842
18920	2554	513	17177	2018	18170	8155	16834	672	7797	3884	15309	509	5172	6303	8856	12847	2279	6295	15698	9061	2532	13481	3078	11926	9038	8317	15338	16099	427	9907	5616	14521	4796	7371	16176	15060	16713	17907	2748	6236	2159	7582	2286	2247	2106	823	16613	6872	4519	18538	17613	14145	13062	15616	5250	3911	3165	12254	5016	2062	5733	15835	12491	4884	680	661	1860	1796	17432	1891	9701	13440	13206	10159	1651	9376	16098	545	6279	10734	16882	2637	10715	19563	4480	14623	6076	18953	3784	6353	12079	5776	10783	15181	18427	6197	16292	11110	20119	12310	9331	10976	15448	14593	2275	2625	14295	13176	18672	16939	7738	3669	19131	20167	11539	12666	14439	15958	7589	14961	7743	5592	3137	19775	7055	5164	13622	12982	20185	7926	15740	16757	16277	10002	5477	975	17120	15026	942	7529	18455	15491	12821	6057	19378	2618	9877	12471	1680	7728	11560	8100	15784	1744	16130	4134	7250	2210	10856	15108	3687	17951	16624	3074	4662	18799	12648	18107	12565	14072	17269	18460	18544
8972	12731	1471	4286	20163	10724	4346	12179	8235	3246	12331	9094	5957	2984	3094	2322	13679	10133	3168	13534	17393	15895	18366	6303	17923	1577	17830	16292	18960	9465	983	16754	12620	11416	4485	6846	15672	1317	12353	15639	15616	16125	14135	693	308	4674	13019	10121	2733	9971	18898	7443	12145	19176	1465	18051	9472	3442	4270	3144	733	4919	3565	7379	19610	7220	11328	18280	10210	9569	10725	668	10822	4743	10367	11924	4772	8058	7268	11718	11472	15792	2853	1455	4230	19150	11710	2271	10595	13774	13116	9583	12174	11508	13882	17383	13357	15855	16341	7581	166	17445	8862	9394	15901	13803	1891	6109	6102	16610	130	16880	7979	13569	9014	15592	1183	18074	12988	14449	14846	16950	19048	11233	17166	5774	13178	12924	16345	19922	14060	16283	20167	10506	18460	18308	1744	3202	15701	16964	8855	18997	2996	16104	2618	8100	12078	15809	11560	10465	13573	19517	5477	17843	7072	11587	975	2842	9377	9255	13092	4587	7250	4048	4096	12921	616	8583	13892	4662	19991	8792	18625	15784
19052	4565	18393	4632	12622	6626	4820	14361	12717	20106	4560	8424	12692	1751	6836	11509	12727	14400	2500	20074	18962	12991	16737	18143	10677	2175	12612	5907	17443	3805	16343	3976	1709	2773	15074	18690	19944	15487	378	15903	8372	3974	6498	19737	13471	3758	17838	17467	4823	18916	17461	14334	6638	7	14885	19271	1000	15573	3887	13613	15377	15794	20068	5536	13027	8951	2972	6166	8654	11822	14321	17425	20108	17063	965	3969	1778	8050	11664	17327	3557	20045	7450	6896	17421	5617	13648	10459	13851	8463	13327	12181	13070	9931	19563	19902	16860	19771	3250	16374	14512	64	1799	9403	2342	1643	3354	11414	14462	9230	13517	9575	5044	3272	10639	3357	11642	13505	4017	13957	11542	10070	11492	19682	11911	4369	14211	15805	9479	8953	11230	5964	9998	14663	2842	2555	5477	17077	2809	15108	9255	15246	5205	17142	11726	19842	17293	2210	4587	5718	18092	5204	19143	3340	1191	15773	11587	10672	13573	11901	16130	9877	5847	6646	3202	16104	7340	12840	4262	3221	1444	12078	10002	11011
10608	7036	5276	12150	8622	20169	10216	4062	1761	13318	1745	14473	10053	17354	4163	7475	17433	4084	16239	13207	17650	1288	3461	15103	1865	5402	19093	1588	8278	14109	2802	1838	11910	3105	16957	14265	15084	2130	4792	2445	16486	6246	11167	8566	9335	4987	19372	16715	20041	13454	18859	12733	13294	4486	263	1039	10191	13009	6321	3766	9429	9158	17313	10826	4546	11574	1099	12288	13494	9538	8797	10820	3352	3728	17878	15202	19959	10544	7735	17651	4893	5457	8016	523	10601	2546	12090	650	16107	10308	1126	9177	4718	5134	12036	7269	11193	2376	658	3207	17434	800	17498	6077	4091	1952	17308	5860	4099	19141	18713	12438	14648	16998	18569	274	18820	11994	10428	17816	4671	19836	1880	9707	8438	997	14849	16127	18177	13936	16349	7708	900	3176	13177	4891	19700	18069	11011	12521	15809	4134	4048	17709	9378	6057	8100	6616	18938	19435	16104	17269	18997	1744	3871	5205	10856	9877	11901	1926	6646	1336	17888	7340	7529	15491	17120	7250	17007	10488	4096	10298	10898	2961
2968	5287	17903	10102	10379	6368	3301	9205	10973	16654	17797	2463	5338	1350	3635	38	16400	8073	4388	3926	3255	5069	12655	11846	12660	12426	3955	10696	7067	12822	15359	10085	19218	4916	8296	5158	15858	3025	19088	8280	8948	12925	5275	14416	5513	18384	8827	19139	13792	4534	17929	9502	2293	468	14323	5087	1845	13049	1321	2908	15353	8965	10837	4415	4046	13252	2443	18982	6933	1978	13803	5284	10693	20198	406	13925	14356	17567	4949	1001	18845	6544	16781	5354	14522	17790	7808	3490	1241	12801	10931	5888	2223	2368	4910	9408	20044	9526	15840	79	3105	20066	12727	14623	9854	13682	10219	4111	5298	14957	14917	2917	1959	8722	17542	11725	6430	3809	7336	7216	18835	7359	19185	17618	14611	13542	7628	7539	20015	13828	13795	14225	6202	10606	13818	2638	15491	10856	15246	17951	1926	18107	16986	4891	18997	2996	11560	2961	11726	5204	16104	5847	5486	13092	16964	12471	11728	7250	15809	18290	18544	5718	3202	3074	1336	6710	17280	12821	17557	18455	13573	17007	2842	8583
