8811	5866	13618	13736	6059	3259	4533	16308	12148	15620	6185	14771	4209	10992	74	6376	11555	3349	3437	2193	10671	8398	13103	5909	1861	4759	19689	2358	9333	13631	6845	13990	11181	2682	1901	469	3571	7660	16583	2271	3123	280	18310	14917	14549	2858	9238	16912	1690	12257	7197	12119	10818	12055	576	4402	3894	200	2080	20011	17832	17160	10811	12278	2157	11329	14107	10045	8240	5933	15513	17150	13706	14522	4039	204	10675	15518	18913	15646	1125	17178	8343	12223	13541	8055	13678	5317	234	3500	6637	16721	12054	17021	4353	8702	8451	8662	15844	12914	18033	4558	19257	15365	15018	9255	2819	13573	19842	16130	5785	9378	13092	6616	2555	5477	18544	5205	18308	1320	19378	15731	11726	11728	17293
11752	5801	13048	14385	8190	962	12477	11644	17922	12340	4257	3163	1449	16406	7377	15493	464	54	10203	5473	16910	1231	1011	10881	5394	1462	12103	19509	8541	7041	981	3521	6235	4399	9677	1710	4607	2241	3441	9232	5172	4585	17494	19194	790	5728	4791	9559	18752	3304	692	20094	15322	1332	11792	16038	2387	2066	9603	15381	13471	16870	1428	3915	18702	12362	10890	2757	9707	18807	19500	4306	4176	16609	1502	6674	19957	8641	3784	19065	17016	16220	16255	12609	6576	745	5782	10324	8393	6856	3320	11163	9254	17035	4715	10156	11155	5675	8486	19401	14665	5242	5074	5867	4617	7340	10442	6057	12921	12821	10616	18460	12840	1168	3687	12648	16130	5477	2819	17280	11137	18088	18997	17142	19435
1899	3371	638	4691	1611	14432	16609	7836	11143	8831	11312	13849	17245	14506	12826	7492	2580	18102	961	7748	19871	4521	6969	1993	8451	18737	19106	12043	18640	12057	8231	9415	14058	18618	879	16186	39	3418	11262	17426	8158	4464	77	17360	16998	8956	18642	3417	680	9989	3926	9616	9933	3717	7431	7436	11952	19360	3603	790	18966	14654	12433	14189	4965	8008	7971	19414	1870	19627	1677	9499	17153	333	17831	12198	17037	4847	13256	5837	16478	19389	3891	3471	16123	7977	18590	8381	13653	14780	2957	319	5650	913	2931	17811	5657	2196	5850	6321	10161	19463	12006	2101	10298	5204	6710	17888	10616	9378	17557	7245	7072	13177	3202	10389	18455	11726	1129	1336	5477	17293	12565	17280	10856
19633	7153	18555	16222	7477	7306	14980	1498	3342	9595	12728	2385	8362	10503	8577	11443	19145	2927	3763	236	8512	10777	13521	10676	8302	18672	123	12240	8709	17083	14449	1165	1727	11633	14491	13873	16084	19855	12232	7189	3067	9049	9998	19029	1049	18534	17744	12449	16493	6219	3752	9514	18454	4681	7672	1438	6935	7338	9375	149	16910	12830	12087	11941	667	918	3649	9087	13316	16163	9103	16079	17473	12610	18224	15724	3553	9310	14536	4752	4380	10533	19150	7999	9047	11213	19927	728	10585	15519	19184	6708	2590	384	2733	12960	9461	18484	13796	700	12520	18953	13734	8732	15784	15795	12921	7245	5847	15773	19435	19842	12521	7407	14360	18343	19195	8100	16130	9255	11137	18308	4617	12648	10080
13414	11506	15658	2113	16629	53	6771	243	14120	17495	6005	12938	10600	9450	8080	7622	16663	17855	11163	14470	3724	12692	19964	5034	7349	13063	6401	4250	16982	15408	18958	3967	13291	13398	2655	16998	843	9328	8502	15931	2103	20086	5361	3183	3716	1808	6334	4493	6576	15600	6009	12612	3418	13042	4393	17829	13656	5706	675	19181	17270	14550	502	17940	19582	13638	19795	14807	10688	4759	6089	6944	3226	8183	14654	10477	11144	690	18840	15872	8657	483	14311	12259	9831	9448	12580	19939	170	19299	12186	20009	7035	5929	19264	17392	20070	11820	19189	17682	5284	7546	5039	470	13177	11137	10898	17142	7728	19842	10298	18308	4700	12821	15773	17007	13862	5847	18625	9756	15246	10442	16130	1320	8252
9553	15535	12114	4638	1176	8037	8502	19881	6369	8205	11416	224	7908	1074	2913	17118	7853	4619	1642	11813	2222	2761	7336	9556	13585	9652	18334	6208	13945	19130	12122	6544	2321	16436	5225	984	13981	16235	4069	1816	4671	13894	11645	5371	9639	18966	8890	20114	17141	14366	17958	2617	6061	9106	19567	9509	625	6588	12344	14932	1718	8010	9474	16466	10804	14971	16388	14347	7123	13068	3549	5555	8696	3797	14101	7179	9780	19507	16407	3005	13460	5966	15689	19164	13357	9362	7713	3361	14276	3314	11087	15438	7211	14166	1433	1859	3250	3128	11788	12641	7066	19537	7487	18239	15795	3687	14360	17120	12648	11726	18107	11901	3202	5847	17888	17244	5477	5784	6710	10442	13818	8100	18997	13573	16986
19983	6226	764	5144	12553	18939	3558	12841	13333	2929	860	4001	5056	13213	9207	5513	950	19065	16510	11633	7498	1417	6877	7643	308	15334	7515	7055	20094	11923	19274	14008	13394	10034	8394	10695	18880	6370	20129	13138	13893	1563	2044	19778	964	16747	13642	4670	3554	3320	5656	1550	10753	15179	12968	16367	11223	9671	16946	5696	15609	9793	7039	9543	18391	7442	11657	17051	2461	10494	17267	746	11251	4684	8151	10386	4307	14250	7386	3045	1770	13315	12491	13976	11539	3918	13657	17531	7334	9209	13364	6942	9824	11264	19802	1793	13544	4634	8268	14204	8513	19959	16362	11520	12168	19991	14360	18455	16964	18308	17244	13177	12921	8129	10462	11726	4700	18088	9756	10856	4741	16986	16130	19378	7870
17015	259	7797	18540	4728	3266	17894	20182	2750	17189	12610	4718	7964	3076	10308	8427	8693	1858	17687	5094	5304	15178	17276	14922	7573	832	17970	2382	4027	14186	10928	11493	1793	4892	10263	9920	17193	8883	6430	1452	10208	2451	10215	10022	7842	485	16235	5511	17648	17742	10444	1906	13120	18640	16944	4629	3681	8352	17464	16828	16028	4316	6859	16427	19021	5101	1404	2266	10127	3783	1633	12170	2385	9597	18537	16256	17941	14007	17639	4123	18868	5045	9231	11370	2334	3864	19817	16397	7257	13661	18427	4961	16671	19316	11320	17389	11806	10804	7433	5027	15315	14335	19859	8854	12821	4048	10080	3687	2819	18460	15246	7340	11726	18290	12565	18088	975	18799	1320	12698	18981	4741	8129	6537	18308
3321	7657	9599	17511	119	6010	7885	13040	9920	980	589	17902	16692	13288	8431	3264	11075	18104	16327	12207	15045	1666	11312	2909	17489	15909	14365	17583	2564	18377	14610	8081	11365	17012	9522	18426	13792	9567	5063	16013	7816	5202	17806	6201	4255	3168	4517	7667	18794	15076	16952	9926	8147	608	7075	7514	9858	3335	3188	1992	1916	18277	15902	17164	174	17895	15646	5298	8137	14971	3289	8349	17572	19525	756	11974	14096	6750	14506	5668	18773	250	7177	18282	12112	18710	14933	10528	8934	13073	354	8132	806	17402	10444	19767	10173	7718	6363	11546	12559	6816	2148	8838	975	10898	8252	12565	4741	18092	14360	11587	19143	7407	15773	942	6537	4700	15795	10442	19780	9377	12821	18107	5477
19672	15799	6628	4995	3233	1985	16235	1931	15732	17561	2679	18962	17252	13807	6600	5577	7216	12431	16952	10874	9723	1056	7347	14655	3026	797	13254	8269	980	1637	9014	2174	15589	18302	17618	4579	17085	1480	16177	12146	8142	7052	14726	3793	15961	10040	6287	17970	12868	2443	16862	6518	8240	15645	5950	17087	3291	11533	34	6689	718	3931	3047	1793	1033	2723	8446	12342	19178	9543	14921	19861	9121	2312	17231	5526	3674	7935	1606	14495	10548	13203	14108	16112	2750	8727	11972	4784	5776	14544	10045	9521	1696	12225	6909	17350	14755	3391	721	8092	3643	6200	1815	12660	6710	5486	4048	4617	12078	9378	15491	15701	19842	10389	19378	11901	18981	3202	3720	6537	12821	19435	18308	19780	2996
