11719	19254	4215	17663	1915	9775	4625	5554	16265	17172	17798	2529	15804	17870	2742	7713	11753	41	18273	3336	13812	14611	16316	7122	18835	17683	4804	16385	14280	11048	4374	1831	11279	7902	1637	8619	15460	6206	8400	8500	12003	9754	4861	19689	18681	16766	3518	15771	1796	17261	19858	13072	9442	19261	19452	1753	10744	4783	3636	19571	14785	9258	5632	149	10582	5550	15645	16757	3768	8530	5843	13822	6976	17597	18539	3456	5483	18935	13323	16358	3612	10280	6289	8209	12782	12400	13386	17416	19832	18175	13395	4752	7565	13250	6786	16431	14849	547	763	19435	18290	9756	7250	18308	3687	942	19195	18625	18455	15246	7340	1926	5205	12565	2842	5204	7870	7728	10462	4048	4700	17951	18544	2996	1744	13862	6710
14968	3861	2084	13311	4720	11471	9616	8635	8935	10855	16731	6362	11815	19658	3964	17317	9940	12688	18025	12050	6351	10451	1127	4672	17099	7305	7861	16097	2332	6689	20068	16957	13545	10273	8379	13105	18638	11659	7197	12396	526	11902	3105	18019	17450	13376	15169	13834	12382	2284	19839	18265	6304	11419	16828	7308	14986	12486	1001	13738	6275	3652	14231	17184	19520	8360	3762	3701	1459	15855	2908	14766	13852	10827	17199	10162	9299	13688	5394	4466	18820	14793	14748	8850	4282	15277	10418	9038	538	4921	1953	10728	11300	5201	3039	12801	5783	1545	1329	6710	18544	9756	18938	17120	6701	18308	1744	12840	2210	13177	15795	19517	1129	18625	7072	10442	3720	7250	11726	17244	5847	17557	18088	15491	19378	8100	3687
11208	5196	3527	14107	15750	5389	17614	19834	3372	164	4879	18620	8959	13996	2266	3373	524	6765	5339	1382	19539	10191	15495	10254	1803	2988	16501	19399	7334	7333	12876	14066	7686	17135	11929	12087	12157	18293	7703	5704	5214	5827	2644	5237	12186	17912	17122	17476	7091	2215	8282	12712	19243	7319	18842	15456	17265	9081	7343	6698	15564	16205	3273	17744	6632	5697	11816	8478	7644	6109	3315	2669	2906	19224	18271	20047	8573	7808	11988	17066	13064	4526	18438	14738	10230	11978	10746	13687	2541	478	12682	15178	19366	13914	7042	6312	14457	8191	12522	9756	19842	8100	18308	16130	18981	18092	18997	5784	942	18799	17293	17142	17244	4700	10389	7072	3687	14360	15018	1336	12521	9159	13862	6537	13573	16624	6616
19054	7131	2022	1087	8080	452	1729	3685	12924	14906	2034	5681	9849	14066	5717	4268	12644	5805	2148	14276	19556	4026	16688	1146	16094	7854	1941	15094	16100	10858	9413	5325	19589	1796	10099	17729	8077	7724	5271	19880	16379	19678	18173	19489	8984	10494	1209	14001	494	10277	15804	4306	7550	17735	17806	8101	16474	3876	16166	17286	11181	1059	10932	8085	19356	16603	19835	19368	8721	13357	7309	8028	2192	3312	19308	3591	8269	2767	1688	9287	6925	6490	6559	1510	10640	9594	1540	2646	10085	32	1565	9736	3841	5	16235	16972	12932	7228	15647	1336	17280	18455	3871	10616	12521	12921	18460	2618	10389	1744	17557	17951	1320	18799	7245	11521	5784	12168	3720	4741	975	12565	18544	4700	4134	15773	13092
4286	10988	8139	13700	761	19757	13593	9747	11744	9061	18013	12076	6197	9189	3267	9446	1584	7500	7065	13032	6594	18070	3621	6731	4311	13260	14592	19051	6938	17552	16873	2762	16335	19588	547	10760	2459	14590	16985	8194	16115	3988	18629	18382	2445	244	5348	14890	3612	2311	4235	2059	14948	6473	2250	8615	18893	19537	14121	15217	9618	5217	17721	3993	1975	5138	16505	2046	19453	1180	6495	19717	5124	13812	3755	4270	13400	14101	19938	12924	7921	14185	1660	2734	11678	6149	7839	2321	12122	375	20158	7312	299	9232	1316	16354	17519	12629	1892	18455	15701	8252	4617	17142	10389	19378	18625	5784	15018	3202	9159	18107	4700	13177	942	11137	17888	1320	1926	6537	14360	13573	19780	18308	6701	2996	18997
2412	14576	2784	13441	7241	12470	3901	9261	2765	9737	5825	10317	15145	10999	13430	3837	17504	13973	13866	10451	19941	103	14709	13517	778	14015	18339	625	59	6909	2445	1859	12043	9895	14392	11072	6405	18404	4882	15152	10161	14852	19148	14251	2667	17999	13925	2358	15296	341	12053	7443	9896	15473	359	13628	17565	24	4393	5158	16902	1360	5650	1267	18282	17233	5028	15487	11704	15163	6024	8523	10448	11130	1787	19784	10735	2088	10976	11436	10323	12455	5207	10088	16653	15037	15340	11624	16999	18620	6676	12718	13413	3104	6539	4192	13472	2116	3737	3202	7728	16986	17293	17007	10389	4617	12565	18938	3871	18997	10898	12168	19195	4048	13573	12821	18308	1744	17888	7407	2555	18107	2996	1320	13892	7250	12698
3958	566	844	16815	7964	15331	17753	15171	6760	11094	10549	10552	4107	4110	3696	1506	19106	18892	6765	6937	8131	13944	8722	7928	411	5906	5277	2739	1593	13689	19115	13148	19374	18121	2838	4747	5158	18398	2058	3059	320	18277	3885	19734	2998	10836	20119	13243	17379	7385	16356	266	19483	20060	4088	16461	16589	15523	3669	3249	7100	15005	7310	3130	12845	8403	20137	4683	4122	7441	4661	11975	8900	9096	15408	15714	8272	2899	19208	11559	11606	17252	16174	6461	383	2470	11352	11536	19148	20111	13211	5340	589	14370	17150	10204	11158	6202	18960	4134	18308	13892	17007	9756	12168	1320	12565	8252	2618	16986	15491	18799	1168	7529	11137	8100	7870	6701	18997	7340	15246	18460	11587	14360	19991	2210	10080
3419	4128	10644	10274	5337	19149	8336	19623	4295	5845	12961	458	4098	15014	18802	6944	17750	1016	859	19880	7121	14917	3604	19317	12682	9751	6683	14953	4212	5629	18422	17481	13621	13604	16789	15408	8035	4627	7401	5081	3487	19856	13226	10634	17922	10587	17665	8193	11879	2196	14653	12777	10535	1882	14935	1867	690	20058	13215	20102	1888	6374	16083	9304	16459	1201	14083	2028	450	11141	4697	2528	7251	5802	4160	20185	19536	16292	5421	1622	8289	15327	3304	1014	7836	6511	222	7565	3374	9738	17239	14079	8528	2574	5402	3749	16204	2721	12849	1926	7407	13818	18290	16130	10856	12921	7340	9255	4134	12521	12565	7072	12821	10080	17244	15773	2996	13092	18938	18308	15731	19195	1168	1336	7529	14226	18544
8705	19390	1053	18610	4311	13078	1553	10301	16889	2641	19170	17104	5648	12357	14971	10589	7758	2913	703	14378	19757	12491	14716	6187	14293	11641	10734	15135	13510	14159	19969	8079	5782	1404	4586	2969	18237	10325	8835	13745	19678	9769	4988	18412	11417	12451	19813	7019	18392	2655	14427	19542	8660	20092	15480	6470	258	1969	18376	1865	8554	8339	3689	16494	2061	20013	8720	15368	1499	6910	4238	19609	2431	8075	12154	4156	8778	10258	15903	10101	18616	9442	12468	10291	19494	7608	13359	15117	13910	19568	10842	4050	7912	8058	5993	102	763	14418	8559	11901	1744	1168	10298	7870	9756	8252	11587	18981	17280	15773	3720	13818	10442	19435	17244	1336	9377	18625	18455	3687	16624	12840	7250	18799	7245	2555	13177
3488	19267	12649	16462	9797	2196	17165	6483	486	10912	5082	17872	1688	7118	10472	4606	9047	6846	16923	6326	4398	9928	14792	1365	8034	968	5359	2398	14568	4965	6399	19757	11771	15199	6903	18438	1082	14952	11748	10971	41	18730	4173	5913	16954	912	20142	5327	9807	2215	16123	13716	18037	11766	14443	16694	16922	7400	19219	17242	8478	15070	12344	18534	4326	5563	2994	5256	14614	9383	3588	15207	14673	2894	6271	10147	714	3798	1449	10937	11512	6709	11481	5900	545	17560	9096	10843	10480	3993	13119	16349	10719	4966	6991	7235	12913	15939	16500	18460	5785	5204	13892	6710	15773	18997	17293	6616	18799	12078	3687	19517	5477	13862	15491	2555	11901	9159	12648	17280	17951	8129	4048	18092	15246	15701	8100
16482	15251	17278	11795	17919	16431	18426	1563	1524	10033	17395	8950	6121	19399	16219	4990	11918	12876	16428	19673	619	17169	19232	1146	6621	14572	4240	8808	15235	9586	15863	9562	11129	18444	11225	13169	3904	19427	4018	1377	11150	13049	12583	13405	14987	14027	9038	2620	15282	12016	4969	12552	4585	4332	1509	11552	16336	19029	6875	6430	7532	2221	3314	6238	19150	5587	5858	1644	17415	15969	2569	18036	15716	10151	8114	14527	16502	9820	6738	16794	17461	9130	6135	4847	19899	8891	7373	8226	2108	3805	18837	7748	8570	19689	17322	15429	15950	14460	13404	19435	10442	18460	4741	18544	17951	3202	4134	10298	18088	12698	13563	10080	5847	18938	5205	7728	2819	12821	2618	12648	5486	2210	18997	13573	16964	15701	6710
11568	9165	6505	1364	8503	15873	10587	1497	17851	13732	6715	17381	6244	13004	5107	20149	10589	279	17330	15508	5000	19888	12163	19745	7891	18558	363	2327	12647	11509	1379	7213	16099	5112	10890	8253	5065	6576	3240	8919	18646	9508	1427	9820	8988	8934	73	13963	10131	13912	2626	13644	9364	13393	4031	10137	8388	11638	802	12146	12969	13821	15032	16488	2443	10017	961	7720	7109	4539	2353	5037	5981	6468	3337	13212	8554	9116	8948	16345	16136	7563	7166	16950	9080	7735	5967	12189	3962	8189	12050	16322	13483	633	4879	12198	4230	15881	17075	19378	15491	7340	14360	13573	4617	7245	942	13092	18107	10856	11521	19517	8129	10442	1129	18092	12921	2819	1168	18343	8583	17557	16964	16624	18544	4741	17120
3056	3999	9100	10653	17144	1165	3904	19636	9202	14069	2565	14204	11810	11323	18917	7740	13841	11430	2108	5563	5472	4885	4003	4833	6903	3201	7637	5024	16084	19920	3902	15184	5044	3205	2259	18916	16554	19814	12364	2062	8535	17479	2718	4764	18919	5898	17395	14506	552	18096	6819	8295	2053	9189	17876	16774	13837	1986	4376	17432	15326	16283	10986	18042	7167	6574	1056	17768	18946	181	10970	9046	3220	4694	9621	19682	11000	16198	11498	9510	1058	12062	899	16383	18752	9301	12001	10315	4347	14580	2562	8574	14055	11321	14977	755	16983	19810	18913	8100	15701	12168	18290	10389	1320	12565	17142	13862	9377	11901	2210	5784	18625	9159	17557	16986	13177	18092	9255	19991	14226	3871	6616	13092	1926	2555	7407
18264	13921	10290	7779	18558	3859	12451	9180	13268	3425	17662	9093	5468	16575	9659	15269	12433	5123	5933	14640	11975	18835	7630	19521	10711	14173	4589	5939	13963	11885	13917	8523	18291	85	13882	8709	19434	7968	13030	1853	15243	14723	4352	8271	482	13735	3710	12154	17419	9418	800	9422	15560	14456	2323	10502	11074	19139	15512	20047	305	16493	14631	6972	7235	19141	13435	9327	13399	6217	5178	9064	8964	18517	10755	18740	1585	19973	10497	11181	19084	15544	8724	5547	7646	6351	18515	569	4973	12439	10828	13224	332	19769	18747	11071	16254	1043	10964	17557	15795	14360	18981	3871	3202	9255	16986	12521	8583	2819	18455	7529	15018	10389	12648	18343	7250	12078	13892	11901	17293	4134	6057	17120	12821	2842	975
3455	9642	5294	10385	11215	1906	6677	10566	13569	4280	4733	318	16114	1794	12055	16912	1972	19642	9617	19529	4217	14299	5016	2774	6107	4886	13481	12603	16958	16925	13723	9200	8692	19976	18267	8851	11735	11532	11645	12384	12535	13700	11583	8613	4360	16664	13898	20114	19886	2028	13038	9221	5561	2972	10686	4018	7299	7318	7521	15103	122	2882	20174	208	6370	7107	17504	11907	15581	1843	6145	13440	4842	12241	19870	19527	524	2994	11217	13382	7120	3248	195	2773	2724	15136	5390	2495	19806	8119	13389	8341	16657	16910	19073	2209	3399	18317	16974	1129	18460	13573	17007	15773	12521	13177	7340	18799	8706	16624	17888	19780	18625	8252	4134	7728	3687	11587	7250	18343	6057	11137	19517	5205	8583	6710	13818
9660	14089	2653	12051	6104	1487	4080	12812	10324	6274	8893	1334	20129	18479	3853	9534	10483	8425	9386	13622	15457	16020	4649	8179	13017	17562	13038	15855	9190	13396	3342	984	4989	7789	4044	16766	16623	19139	4511	6586	1579	19715	10482	9547	5420	19093	15903	10231	5025	9041	904	8566	19583	7035	11048	17094	17730	1445	11505	4460	13222	18584	4291	6212	15969	18232	4535	7109	7071	20041	12403	11112	13570	3132	4153	15338	19083	16901	6580	13559	2744	1189	14958	3289	13504	7187	11392	15134	7656	18533	15322	5581	16213	13864	9986	3851	16805	17518	6742	18343	12168	10856	1336	19195	10462	18107	2618	19842	13092	6616	15246	2996	10298	10080	15701	7245	17280	15773	11137	975	4134	2842	15108	17142	19780	3687	6057
8966	18688	10106	8332	6451	8112	3557	5602	10319	1769	7584	6454	7918	15484	2534	13101	16857	17832	15748	2595	19592	7898	15765	10498	17051	7118	14848	15846	11682	2006	15496	11191	11458	20134	4270	1291	19304	15045	11323	7240	3104	19305	15139	18101	1701	15321	14673	11843	4847	18344	17257	2077	14368	17864	11320	9747	6235	4281	9769	15296	4612	5810	9920	2183	5341	8292	14324	12733	7236	3713	11718	15269	1347	5371	5580	19996	134	5658	19931	19627	19025	19177	1143	3473	17686	800	11398	17567	7155	7173	5860	5055	13440	8438	5894	16545	3403	5028	2868	19991	6701	12078	18460	5847	18343	3720	2618	6537	8583	2819	14360	3687	10298	16130	15795	942	7728	12168	16986	5205	5204	1926	13818	12648	9378	11901	5486
11261	15464	2135	130	17	206	13569	16045	19881	10836	3786	12166	5164	11663	15270	4859	1042	13072	7282	16320	8234	4588	13316	11444	16713	4006	15563	6003	3018	12392	18572	4379	5937	11215	18957	15408	13841	3295	11205	7312	8147	1656	11464	7124	3085	8500	17072	19636	7664	4487	12430	8731	3697	2067	3713	5457	10319	15780	16063	16835	3670	4250	10145	16409	15216	19172	4152	8557	10810	8225	16075	2190	12536	807	4255	1462	17746	19268	18315	17039	11405	8264	19484	3035	5494	6977	14367	9558	3515	15618	5831	10874	3680	7288	19864	6403	3025	646	12382	16964	14226	10442	15795	11521	12921	7250	6701	18625	9756	2618	15491	15784	18799	7245	4134	18092	11726	16986	975	5486	13563	3202	12078	16624	5477	18290	5847
10973	720	9798	890	14961	11204	3859	6949	7193	241	3601	723	5348	18858	2192	3162	19202	15423	1104	8132	7267	15479	13336	8124	12634	8538	19688	14796	7216	7509	13268	19164	18384	12822	11471	16757	14755	8075	13602	14121	18173	10007	14846	16127	5347	9340	16374	4426	11144	2613	8587	14809	242	15735	13877	10400	9093	11072	11839	12412	9436	13879	7864	10984	9841	12452	5283	7480	15652	18498	19203	1457	3906	8944	18756	18968	7789	10912	15938	9547	19854	18738	13476	9457	9201	19469	14637	2313	8639	4446	2014	15661	16413	1679	11721	11770	9125	17148	16362	7340	18107	9756	9377	15795	11726	13892	17888	17244	8583	1129	2618	16986	18455	18997	10442	4617	15246	13092	18088	12565	7072	11137	942	10672	17120	5784	17557
