19546	10041	12510	5249	19020	17892	16897	9343	18045	9715	12635	2968	17006	6881	7201	12820	3359	649	8661	16224	14955	15798	12458	588	6035	14174	3564	19344	6733	6822	452	11920	576	4880	12443	4240	15134	19858	2929	17260	16025	18228	4573	16442	8253	12227	395	1155	6124	5175	10507	9920	2293	631	2472	8440	5030	12450	8268	10713	13309	13617	14568	11244	11631	1794	11108	698	1848	6498	817	7631	15991	16379	20017	3418	8153	2229	3281	9030	19503	9687	3965	13657	16702	10832	19162	8719	6311	8241	19127	14770	7851	15301	13533	16343	8774	194	13599	17420	15680	18535	1379	17858	129	9200	4168	718	5514	3924	10450	4726	7444	5368	17263	8325	16124	10092	7753	19520	12270	8792	12698	7529	11901	10389	18799	15795	19195	12598	7728	11728	17709	5205	10672	13818	2996	4700	1320	16964	12840	4096	1926	8100	11587	14226	10080	12078	8706	18092	9377	7407	182	18290
7684	5146	16658	14098	15012	6503	12987	3364	681	1872	14486	2849	7824	18356	10988	16767	15867	15476	4550	1055	10165	2516	361	3994	19114	639	17546	16891	10981	13889	4573	18714	12280	8224	6106	4683	18750	18959	9274	12760	3260	8808	5131	12154	17829	5239	448	9769	3536	7738	466	10737	17650	6999	14752	3549	17373	11978	8304	6986	17885	17217	2353	13924	12786	6667	15786	8831	14809	11220	2674	2370	5728	15611	19188	13455	5045	1973	11046	2699	2647	10152	16156	5491	12048	5496	20182	8278	7633	12081	3591	290	7876	2158	18445	6854	17381	10258	2874	13841	15321	9861	1658	14881	14417	856	19923	17775	19443	18718	2722	4878	6621	10452	3381	694	11471	12742	17119	19735	3876	13818	5486	1680	19991	18938	17888	2961	7407	17557	616	882	4096	3340	18460	7340	7728	4134	18088	5205	12565	17280	15784	10465	15809	18997	1168	9377	2842	10488	9877	15701	10442	12921
9417	12506	8235	14984	2886	13253	9657	11250	15466	513	6509	5471	9650	10866	133	8524	13493	17394	3555	6786	6545	18946	9498	10929	16240	15472	10210	532	3945	15063	3469	9895	80	13298	9176	9376	14335	9572	19519	12935	14149	1631	9228	13023	15880	1651	19742	748	1394	2361	19154	5610	19556	15913	10145	17326	721	14818	12574	15781	12556	18661	8627	1163	11	7065	17395	14871	14601	14708	7234	17024	16845	11070	4149	5442	13865	12117	19642	596	17038	16690	20020	302	14821	14591	2408	10411	10881	15520	16830	452	13671	1779	6715	18458	19174	11396	9152	18731	19876	12543	2646	2853	6661	8270	2574	12657	460	6541	14745	14673	13217	12122	10713	12898	15527	19624	6703	14265	18312	1731	15491	17843	17557	11587	14226	7870	19991	5847	12921	13563	4134	616	15773	7245	8792	10898	18625	10488	15026	4596	9877	5784	16624	18069	18088	2996	13092	2819	10465	2842	5785	12598
13754	7036	4976	15295	9669	17023	17062	18164	18020	9622	824	5875	7409	16905	4372	17835	18554	11869	3164	14015	8878	6432	11971	8438	14744	925	3484	2679	19202	8196	7033	13315	2353	5331	15939	507	14781	5169	2128	8166	7629	1059	14227	7357	939	11053	14709	6586	13191	15436	4841	17216	12930	2331	9667	3004	19699	262	13502	13327	13159	14320	16061	17679	9675	3496	9479	2782	652	9198	10785	12543	16896	13839	18037	19150	19221	13679	2215	13601	19375	13137	11915	7505	7109	15667	2300	15964	16774	7489	5924	8587	11589	17377	20018	13397	20092	7375	16232	6054	13984	9728	16633	11222	3435	18620	19817	4253	3777	7373	1691	3005	12496	9656	11813	9018	19076	18154	4315	3398	4774	9377	19435	13092	10672	182	11137	13563	2618	19991	5785	19517	10488	12648	4617	10616	12471	3221	15731	5784	13818	9756	8706	5718	4596	4134	4741	15026	15784	15246	18343	15809	18290	17269
9585	16600	12348	14851	1797	8505	10660	11120	3270	16019	6079	6021	804	12554	15024	11719	4605	12033	2448	9593	11393	11390	7032	12473	5212	17402	9472	9814	12251	12755	8217	19167	6820	13097	2911	15615	6098	10599	15786	98	9465	15577	20072	15258	15438	13652	2171	15958	6351	1016	15834	1532	19268	4036	6836	8520	3599	2876	12148	13958	15798	18731	5679	3572	11739	7081	4718	920	8812	15169	1419	4776	19713	16597	18833	17158	12535	2278	4426	17456	17358	10011	6212	10714	6014	16028	19964	15192	17711	16012	14977	6998	132	9107	16091	6718	15160	7448	16409	9495	14456	19997	801	19804	12297	5733	20120	2370	18162	14054	12620	9373	9618	10959	5685	5339	8809	18716	14986	13985	12560	12840	11901	17888	14360	10488	975	6057	3720	11728	6616	5718	1336	15246	8252	15784	7340	2819	17280	7529	12821	6710	9756	19435	3221	18088	13573	7245	17007	1129	4617	16986	13862	1926
5464	3596	1985	10346	19450	16444	9891	20106	1440	15627	10213	9490	17619	9284	4779	2716	13415	3037	2624	4878	9270	14120	2435	2696	1809	12074	11787	6713	10984	2945	18212	8020	6580	19466	3945	9851	10428	11993	11144	4726	9416	8282	11349	6890	18043	3597	11929	10670	3879	3649	8512	16469	6102	19170	1497	16755	6080	5563	9921	18282	20208	8065	18611	17014	4350	17409	5967	4398	14196	8894	11010	17610	13436	9696	16431	8124	12804	13644	19839	17181	11548	10240	10248	5242	15269	10384	4088	729	16598	7930	13361	13498	7299	17635	2774	2515	14548	13757	3370	17560	12875	13998	18591	13492	2988	3924	2382	12629	344	16270	16439	7802	10565	17858	4844	8239	4050	10227	178	11448	1045	9378	8792	18092	15246	13818	7072	9756	10389	2996	7529	16964	15809	3221	12821	15773	13892	19700	18455	2842	12921	13563	16130	10462	3871	4134	15795	17142	19195	14226	18938	15018	10672	11137
13451	3419	12147	5502	9085	5466	2265	962	17617	13124	11384	5911	8168	435	7562	220	18170	14017	1430	9278	15023	10033	5990	9209	15118	13186	5673	1902	8615	15620	3652	2657	1508	4487	11438	6760	13958	14232	8386	17144	7583	8403	15142	19749	19350	7754	12341	1827	17759	1498	19939	15686	6612	15985	5632	3152	17618	10823	7990	9402	13382	6820	18875	15149	19380	5952	10777	10075	16204	6466	18094	13688	3309	14917	11474	10688	9800	4766	8023	19566	19391	2393	19575	19218	15815	384	17530	13978	7612	15377	19049	11681	387	8059	17424	16805	19825	16554	18899	4990	13601	12968	2676	20200	4086	9348	6533	12119	14374	2873	8008	18667	9947	6539	15354	12300	953	9777	11020	732	7492	13177	13892	4096	17280	11726	10298	7250	17120	3074	13818	182	10389	12471	15809	3687	12168	17843	15784	7072	18455	18088	616	4617	8583	6701	9756	975	7407	17390	4134	10616	17244	5204
13965	15341	16558	14962	11510	5931	9970	19334	18056	10041	15443	14968	3347	13740	11367	16179	19947	638	14191	2527	18605	3704	14047	3875	10744	13669	1290	12741	3062	14618	3846	20191	4224	2993	13953	11138	4831	10695	2553	1859	8431	2312	7720	19758	17972	18624	3168	1809	6944	16342	2762	4303	15604	18209	3859	15273	5300	11531	9080	3974	3683	16812	1258	5076	9515	3924	11542	12431	12862	18199	267	8761	11631	6875	16231	8094	6499	12332	5417	3571	18679	9623	20146	13982	16245	3379	9595	18449	7586	1165	12516	12084	5563	12353	7079	13517	9325	18829	19693	4204	13005	3235	18661	14717	6856	19327	17101	13508	19404	14110	3953	17906	15764	14410	86	12094	14536	12198	14569	5909	354	17280	13862	17843	19517	10462	3221	11587	6537	5847	16624	4891	17709	15246	7529	11728	17293	7407	18092	19842	17142	9378	9877	11560	18544	12840	12471	1129	4596	11901	6710	12821	2555	13818
12334	12349	12640	18150	12376	7523	6152	17722	2218	8969	3861	1326	14438	15295	9983	12279	4638	18694	13327	13311	11054	13675	5038	18964	2121	17135	1646	10250	8709	1359	16925	10278	5997	7218	6289	5359	3320	3262	19393	1271	5952	200	14793	5030	8989	14204	15185	1874	9137	12775	15301	17193	18132	10864	15829	2659	12498	9309	6473	2617	954	12833	6683	15415	15239	7601	13140	13012	17024	10414	12613	11851	2749	17862	9736	11065	9346	6869	2692	19482	1509	683	17227	7382	6281	10688	9261	19437	982	2564	240	12529	18113	241	16965	1487	19353	11911	16962	179	3558	12401	14887	13756	14363	9198	198	9500	8514	10945	12431	2867	2323	11891	13147	15101	18750	8828	18084	19401	9807	5847	17142	19435	11587	3221	6537	18938	5204	12921	10616	14226	10462	19842	7870	4891	4134	10672	11137	17390	1744	15026	18544	18625	616	18343	11728	18981	5784	7529	2961	16130	3202	13563
15535	16503	1483	11391	12614	11848	11176	1106	7617	9094	6268	11855	8743	16809	1715	7477	13932	10364	6887	3398	10079	2925	1704	13143	9616	9163	14675	12522	10221	12905	9072	14989	11646	4082	19278	18727	17782	7583	15762	11173	3002	10901	1307	16872	2856	10152	14917	8635	18344	18280	3004	10651	10599	5868	3937	15460	843	2038	11610	149	2405	3973	19209	1843	18535	6192	15750	13946	10845	15895	15432	14973	14069	8501	9522	15969	11743	20150	11168	7496	103	595	18987	11466	3970	15672	16770	9031	4541	18367	15847	9675	3601	7979	11412	6266	8950	13709	2672	17518	9080	2387	10105	3878	2245	17954	3450	2332	18025	4027	5399	17789	1288	746	12883	4204	19400	16397	3176	12325	14808	17142	1336	3074	13892	15773	12168	6710	12521	17293	616	12648	12471	12921	882	5784	8100	3202	11726	7072	975	13563	3340	6701	4134	18625	7529	19435	5477	15809	10462	4096	8792	6537
