19157	5276	3246	6526	8235	7785	5370	16743	13686	14606	9750	15545	7773	8684	10776	13086	13992	10724	15591	7825	1106	15324	16410	18362	18793	17253	15352	4055	17816	19854	1250	12192	6323	18849	19415	4138	13215	19032	6822	6877	9559	13049	7481	13062	14082	20011	12728	12375	14097	12121	17264	11167	12945	10691	4337	16245	18901	8204	16152	19421	15779	15915	9070	2998	923	17410	15743	16826	15961	19474	7690	14794	1497	13566	7465	17078	4634	6232	11616	3518	10543	6475	9351	11795	17724	18355	7622	9486	3548	3249	15981	2354	9901	10339	1065	3243	19731	11922	7099	6838	9644	1557	15507	15131	12665	12646	16231	10694	9139	235	10076	3657	5761	7152	16265	19344	3872	6710	10462	15731	17390	18938	8252	1320	17269	12168	13092	15491	19143	18981	12521	7340	7245	1731	9756	6057	15809	14360	13892	10465	616	5477	11521	12565	8129	16130	4891
20169	17006	10393	1899	13158	272	9323	1078	3166	1244	3438	3359	8525	17177	18020	17807	15972	5241	9490	8029	2798	12690	10544	10739	8631	11642	10230	16796	2181	12781	9480	13099	8770	6155	11419	19646	14981	16190	17493	4350	12735	11871	18728	16799	9641	18321	2067	767	18872	8442	14695	8993	1981	3181	8819	14007	4005	17158	3914	5487	6420	6264	9446	3339	683	1231	17212	18357	355	16177	8538	4224	7507	12559	6348	13317	13392	15819	7917	14005	19977	19216	11424	18730	2208	5037	13644	11795	8444	17642	8882	2245	12986	350	2948	11546	7071	10821	4322	15297	12784	11371	8302	18016	9829	12720	15688	4646	8918	6786	15881	6911	14818	281	11448	5952	8191	1680	19195	19780	15784	10080	2961	13892	8706	4617	1744	18460	10389	7728	16986	18455	6537	13818	15731	2842	16130	14360	19143	13092	15773	4096	12921	2210	1731	182	9377
3850	2469	9349	7409	7425	12266	19587	18153	1156	9053	10220	2712	19008	8518	11375	220	3658	15538	18181	6660	13875	10592	12823	16623	2106	6575	8065	15348	17464	13500	13544	879	5167	3548	16819	5581	4894	19567	16459	3232	20100	4492	11574	13898	17386	17686	1377	9718	9572	4250	12049	6420	11336	3480	11823	12617	5439	18946	938	5076	9348	12618	6403	12048	11527	7110	7734	1950	11414	8547	4149	8850	17445	9912	14204	8522	1860	7341	1194	8153	15552	16716	9280	1011	17847	13634	3099	1727	2929	2103	17768	1870	9184	2806	1496	2312	20022	5860	5609	17753	5178	541	17979	16449	5440	1588	242	2959	5373	417	5177	2621	976	18355	13012	8233	9562	17142	12598	16964	9756	7407	18544	18799	17557	4700	8252	13563	1680	1129	8583	182	19378	10080	13862	12921	19435	4134	19842	17843	15766	7870	11560	11901	1336	9255	5784
1326	9720	14338	5471	12480	14222	11752	13246	2303	8705	15190	18599	17842	3280	6881	19384	9356	17669	12093	1580	5196	2777	14245	7584	9752	17110	8119	3128	13585	11229	4619	7696	16657	296	6179	15748	18930	9234	19855	8404	13235	8142	17981	14449	6130	6596	12823	18832	2286	2232	13060	4352	1651	9560	367	372	9621	3868	3372	1900	10017	11016	20003	5750	13291	14583	14936	17433	6011	19732	16663	14640	273	10260	7165	8771	17205	19925	9379	430	5850	5355	9383	2190	15408	16756	15462	3582	10035	10916	17398	3784	3798	14615	11763	5200	19675	8891	7070	2435	10113	715	16593	8833	9270	5902	8130	603	14233	5716	17284	14204	323	2576	7478	16774	16088	19991	15766	3202	16964	5204	10898	13573	13177	15701	7728	11728	4225	3074	5486	8583	3871	11011	882	18799	18107	11726	7250	18343	13818	10616	2996	9377	15026	19195	12471
2476	6694	9528	5092	1580	8582	18048	6543	5002	11018	9669	15443	1745	3658	15627	10481	19336	12331	3896	18621	12856	5608	17128	2070	5138	5388	18159	19720	13678	11475	19079	215	7917	3042	367	7487	4340	3001	486	16469	6929	13944	3181	13856	17740	2286	10283	14802	1616	19762	1202	3218	19047	8625	7678	14910	686	11020	15951	12743	10279	12626	987	5637	12615	19888	19832	11072	3164	3674	8725	7935	39	7213	3889	7708	19817	15316	17696	15009	4379	191	15050	10251	1295	421	6943	7334	19300	15112	14506	7569	15506	19064	8716	8370	6941	1124	13525	13687	18558	18224	4434	17597	9253	2260	20095	16148	12281	16145	17642	6820	19223	1111	1971	3518	698	7250	15784	3871	2555	17007	14226	1926	13818	12598	975	11521	15022	2809	7072	6710	19780	6616	13862	13177	19195	15795	5204	2961	12821	17280	15809	7870	6537	10465	3720
6901	18670	6189	13208	12284	1140	5548	2218	17539	1791	15557	1899	16328	3686	6070	16430	19727	14147	4318	16495	1855	16317	13935	10697	6618	19656	3620	18115	4328	8760	12950	3189	19852	15656	17143	3334	2617	64	12246	6414	20149	6949	17426	18250	2366	13966	3532	18392	9871	15054	7643	15990	10259	859	2859	11542	7999	6127	14755	5419	15373	1202	11892	1657	13764	3344	2676	10552	372	1861	1655	11113	3140	12887	14312	7259	3362	17554	4501	18448	7130	11917	18368	1533	6394	17146	2643	2024	5065	3724	3572	534	16364	18675	10221	978	6736	5107	7380	11145	20150	1054	5938	11693	20200	15495	184	5563	9449	8753	3922	3143	18131	2355	19218	9509	11269	5477	6057	3687	1129	10298	14226	4596	5847	13818	8583	9756	15026	10442	2819	18088	6537	7250	2961	13092	16986	6701	19842	4700	5718	15491	18544	4225	18107	8252	10672
14436	9104	8927	9750	14325	18602	14014	18137	6429	3016	1473	17036	12349	4286	18196	2999	6797	19831	2265	15869	3598	1146	15757	6209	3121	60	6975	10840	19194	9892	16256	17828	8025	341	17520	15316	2730	557	13440	12196	16975	4457	7556	63	11135	19923	11863	1453	7071	13624	20108	13456	17865	11950	19085	4861	17814	19095	14229	4945	18845	8363	15518	5699	25	10999	1500	14794	17172	15413	2870	427	10586	11017	6412	7574	1147	20140	14293	13070	5316	4029	1051	181	19997	17345	9021	13702	6488	16914	13218	14214	15360	6948	19901	8362	11642	14531	9523	12430	13078	5157	3384	3262	3103	5513	2343	8048	8879	13971	14501	3425	17193	16126	9831	19682	4977	5785	5784	19517	10389	2842	18088	17557	19842	18290	3340	1336	13573	7870	18308	616	7245	12565	8129	10856	12648	12521	17280	15108	10462	17269	182	9378	7072	8792	19143
10857	6493	5918	2665	16668	15027	14254	17667	530	3371	14829	1117	7706	17177	18489	6951	9622	2995	1047	18393	18253	6124	17039	2259	15895	49	14249	16845	19720	2480	16672	11418	11636	19308	1622	5871	8587	15667	16783	1577	13147	3737	11316	523	1408	6703	3462	19806	17497	5494	10983	8317	937	17986	2525	3095	15484	18624	8864	11813	13888	11830	10809	7561	3384	17061	5588	18421	20120	6294	4091	14964	14966	19609	9838	19109	2909	10991	18680	8295	11668	10365	19702	6780	47	19944	5545	17949	14232	2969	20011	14818	13047	13173	17020	7380	15438	14000	4681	5467	14206	18324	17597	14858	14512	19593	14331	6772	17921	10450	5177	17900	15756	11921	1363	8121	9257	11728	4891	12565	15795	17244	11560	15246	2996	5784	11587	8100	13092	14072	15018	2618	12471	13177	18981	5205	16624	15784	18455	17951	13862	2210	11726	1926	6701	7870	4700
7232	5092	9029	14188	10220	16677	9891	9529	4795	15789	13965	3479	4062	16222	13091	1724	6174	13787	5918	19587	6242	17923	397	5706	14077	2075	12267	5208	17424	16031	390	11445	13395	15084	15802	5345	10395	10052	6596	19281	13000	1867	6182	6968	4421	14058	14651	17520	376	19775	18486	13258	8269	13358	9088	6239	6623	11095	3967	13948	10145	18182	16270	19859	18159	5389	19675	413	433	10347	2158	17931	18948	3640	14056	5564	19653	11289	15740	10559	3540	7808	4153	8402	10865	14380	1082	6845	2580	16281	7145	12487	18513	7422	9074	9142	6297	1363	11327	6303	1182	1482	4510	81	11498	16198	11608	16706	17164	2803	15436	5680	14334	16326	15194	5899	14549	11560	11901	18088	5204	9378	1320	13092	1129	17293	11726	4700	15784	5486	18092	17280	19991	2996	16130	1680	2210	11011	1744	6710	3871	12078	19780	1731	15773	17244	17888
8817	19727	14432	16658	4494	8908	11099	16009	16372	13292	12614	7425	4563	1471	16897	6857	17089	13031	13133	6268	16905	5141	17983	17565	13185	11139	9860	1318	9103	2763	488	9597	283	7353	17812	3472	11405	11336	10738	12449	18472	8955	12240	257	12802	3483	10742	17365	11902	7267	14758	1762	15041	19796	11760	11045	13837	10113	11994	14815	11933	7629	1438	15760	12982	14946	12950	4561	2066	7584	20067	18500	4797	12433	14248	5891	3495	7437	9457	4892	14941	13721	10	6999	16048	13291	17663	2669	12610	8895	10718	14345	8390	7633	13320	8312	15835	13851	941	10182	8125	13256	12431	12091	11704	3334	16007	16127	12888	5993	19836	13193	9421	2224	19928	6285	4444	1320	19780	18981	12471	1926	6701	7340	7072	17843	16964	11728	10672	15246	14072	19435	9159	14360	13892	4700	19143	3221	15108	3687	2210	6616	13862	13177	14226	8100	5718
