4652	9237	17842	15247	10533	7155	4290	16084	11980	180	8320	9448	12384	10259	11355	3128	6370	7664	12389	20105	4103	12121	678	13647	15068	18607	13840	683	132	2899	1406	1152	11798	16801	9223	714	15909	4301	5581	15692	7952	222	11128	10586	9236	7874	5961	2183	19744	4546	166	12313	3880	11884	8678	13294	734	8230	15469	3674	7501	16675	20166	12210	2502	13559	7948	18539	16528	12457	3680	8264	8974	8404	4130	8851	8609	10345	7236	1987	15631	14031	12475	10269	4636	14410	13829	15841	7758	14927	15145	445	14917	2320	11833	10298	17557	12168	7072	2210	2819	5205	10616	7340	18107	3720	7870	9159	5204	10462	11521	5486	17888	1129	1168	13177	6701	7245	18981	5785	3871	12078	17244	5477
3823	16511	3083	9081	12686	18439	16354	8016	9716	19387	14120	13963	1722	4029	16471	9172	13708	18774	9763	16858	6470	14755	2187	13206	9761	5770	12990	11627	20076	13144	16976	7649	19627	1586	12427	10773	19170	16258	3066	6975	4880	11436	429	15102	4791	7211	18637	12477	6410	1137	1250	9406	16702	20041	17744	9230	19568	17101	15089	9307	8535	13358	18557	14295	16401	9000	10782	4365	10450	8556	4653	12629	12811	7177	9735	12706	5776	7784	756	6373	18237	10528	9687	188	15043	3322	10052	18001	7415	2611	3684	1966	2969	14875	6820	5204	19517	11728	17142	9159	7072	11137	15731	2555	14226	9255	16130	6701	18088	2210	8129	13818	10672	9377	18625	2996	7250	5847	15795	12921	12168	1336	3871	12565
5092	4232	2712	15594	17608	8331	4411	7167	8889	17854	7989	16376	2081	5114	5419	16237	13687	15805	4066	3437	6281	17219	2281	3289	3804	15469	9436	14379	2948	3872	2763	18265	17520	12112	17055	6684	10595	16305	6541	11061	12829	15255	5039	19871	1127	13231	15985	2696	10876	5309	9852	3232	7992	14416	17672	3339	5078	4212	14129	6572	9763	2810	18820	17184	10020	13879	15506	8312	9854	13207	9234	10052	15320	15628	7142	335	9861	8703	19124	5786	14368	14556	7582	8260	12154	18237	16378	12344	2480	10319	13822	3131	4419	18161	2453	17120	19378	8583	8129	3687	9377	11137	18938	16130	18625	12648	10298	13177	12521	2210	3202	8100	6616	18088	16624	5486	15246	18544	3871	7072	15784	17244	18460	17888
12649	4286	17515	17895	1508	10598	4233	12393	9049	15432	8693	3786	16910	13106	3348	10031	11475	1912	6285	7649	2647	17610	12976	5094	5349	8299	4622	174	4402	2234	11892	8575	11938	16575	5388	18014	18312	11441	12499	433	4426	7791	4121	77	16457	11228	18681	12295	582	4970	773	18748	2347	2352	2691	5354	13935	18157	7048	7977	1688	17931	6690	12981	18041	12173	11623	2927	5152	13603	17776	13541	17635	16356	9131	17398	6977	10075	3428	2841	1986	13010	16102	3322	216	13145	1209	11699	4989	8335	17257	16651	6920	4524	7033	11521	12921	17293	15018	10856	19842	1926	5785	15491	18460	16130	12840	12698	12168	7728	19435	11728	14226	15795	16964	18625	9756	10616	15773	2555	11901	8583	13563	18092
1123	2476	19291	12207	19149	2994	10645	19312	12860	19139	17941	11988	16679	1506	8253	12641	13675	15573	20098	10410	18573	12937	5810	5602	9035	8962	4792	5288	15758	4592	14434	13386	8405	9398	18059	1788	10591	14642	5475	8789	19498	3973	7760	18244	9560	16770	16369	13282	16645	16816	15321	17346	8173	5907	10052	1114	20032	4321	17784	2604	1958	5572	13154	8480	8330	5943	2470	16771	19161	4692	8396	2884	12464	14186	81	9061	14118	19865	15727	2078	9135	15851	17246	12858	11771	8795	19747	15063	2750	14934	7735	10279	1924	14646	4883	15701	17244	18308	2819	2618	6057	17293	7340	11728	2555	18997	1129	11587	12521	1168	2996	19195	8100	18981	19378	8129	12821	10616	18544	13177	9377	18088	17007	11521
5430	9750	12669	15165	2955	14522	20154	1165	4923	8588	3279	3071	11020	14364	16270	4224	6488	341	13366	11784	5882	14718	14035	10567	15085	4424	2492	17490	14810	6005	3314	16122	7167	15835	16310	12850	8015	8241	17730	2501	10993	335	16826	8530	14877	8797	16460	4689	17338	13144	12325	16357	11877	11371	18728	6171	1828	9459	16912	1534	5850	14032	20096	17443	3507	5373	12838	396	18501	12883	15740	4824	10829	1371	1395	17310	7700	9932	7259	14752	16583	9896	1180	5257	6914	6842	5636	15849	7046	1171	6207	12897	3626	5717	4900	19378	18308	17120	7529	6057	19842	15246	18343	1336	12698	16964	19517	13892	10462	2996	16986	15108	8129	18092	4134	1744	10298	17888	1320	16624	2819	8100	17280	9377
516	15295	14606	4183	12185	17989	17350	16282	4464	7362	17193	9006	17042	6346	7674	1164	15181	898	6458	16857	11213	12590	13881	17108	11167	3339	1946	5211	3799	13706	18556	18185	2491	16783	8958	3005	18359	6653	4379	7428	18777	8642	15074	6548	15787	6964	1661	13997	17859	10941	16279	2223	2864	5554	1515	13719	285	6161	18506	13400	7017	14782	16528	9028	3203	4661	12688	1977	19627	5097	1000	9202	4312	19300	13314	2892	20041	174	11882	10563	10223	18785	787	8508	19804	18322	9338	12441	17783	11140	4637	5082	6811	6004	11762	17244	3687	6616	11587	8129	9377	16964	2618	10672	19195	1926	8583	5784	7870	2842	13092	10616	18544	3720	18981	19517	19842	13892	19991	2819	15795	2996	17888	12840
13383	9165	13130	4109	14323	13858	18100	3798	12091	17421	8444	13928	12258	10324	11609	15618	2994	7499	18040	16375	15322	1959	12316	7270	1456	15725	15085	13868	12876	3200	16777	12024	9723	4578	12913	2806	17660	10698	1403	13322	17760	16835	13662	13517	279	2458	12198	8725	3036	10473	4648	11552	15347	6961	16401	15573	15909	18908	6882	1288	8404	4956	4678	15323	13058	19915	13341	16382	4307	13304	8125	13714	13435	13912	4705	11972	19137	15164	13973	13471	4988	10437	3417	8499	4781	16239	7358	9495	17137	13088	13324	7003	8158	17012	4750	19195	12698	10298	15018	18799	4134	5847	19435	4700	18938	6701	1129	2819	10898	6057	3687	11137	17120	4617	11587	18997	8129	7250	11726	5477	12521	13092	2555	3871
15183	5403	7940	11602	6243	6014	11978	13341	429	7038	13069	7643	5587	15322	12447	10340	11561	13235	7956	5511	17301	3767	70	7713	7943	5797	7428	14411	3240	6284	10645	2061	18842	8879	14808	12389	19941	11777	10757	9410	16024	19620	10431	7524	10586	1449	2967	18982	3729	14444	9597	6992	11892	10464	14615	12295	497	16309	5057	16396	3134	15760	8472	4619	11400	8904	1730	10981	10938	2266	12341	20206	11124	1371	16874	1381	2752	19950	11633	3709	1227	7550	15602	17915	9274	11519	17621	15848	8246	17729	8941	2630	11597	1206	12947	7072	8129	5204	17142	3202	2618	17007	1129	8706	16130	15773	18460	4048	15784	17280	11728	18938	14360	16964	6710	11726	4617	14226	9756	15246	6701	19991	18997	6616
19897	6679	6619	7772	10802	13623	5201	10165	604	10113	5431	12328	10852	9992	1763	14963	8313	19628	3005	20128	6821	12439	19795	9136	19609	14166	4800	18923	7670	14779	3508	5960	11281	11401	4217	4498	19462	5284	17341	10453	7396	3363	19588	728	13897	9253	12443	11054	11285	11615	11010	18586	13856	1297	2911	10791	7241	13027	17541	9902	10992	19859	14461	7863	18617	480	9254	5584	14057	9765	16515	1221	4448	5976	10830	7192	18182	9777	2289	17636	3409	3487	3143	11775	19683	19935	3593	16501	14815	100	18084	3619	7450	5195	12968	11728	14226	10898	11901	10080	4134	6710	1129	8706	10442	17120	18343	7728	4048	2210	6616	9378	18092	16986	17293	19378	6701	12521	19517	15108	7407	4617	16130	18997
