11658	3753	4387	3419	5452	9787	10213	13666	12398	3476	8888	18965	18410	16918	5247	19291	15341	18554	8487	17772	11624	16790	5271	13396	4315	11234	1013	655	2931	5359	1502	14507	10561	3041	6264	17461	17910	12451	16568	15441	12477	12959	5393	3763	6995	1625	4121	18716	6005	16307	17304	16732	7999	19342	8504	11548	15896	1317	4731	17853	3851	17054	2749	11170	15099	9151	1811	926	9554	840	18814	3201	5884	1756	8069	18400	4573	13546	15331	10547	10053	7508	4763	3619	9096	6968	15618	4235	19200	16192	7501	14371	20100	10407	1516	7187	13708	4718	11925	9521	1900	15960	9288	3706	1022	6038	17227	19806	10097	3219	15481	16410	10168	697	19556	9270	13306	3051	3932	8995	8846	10137	2498	8565	19646	19888	7962	4829	15583	7180	122	4733	15646	6684	6435	7413	3961	10809	19169	2268	8098	16241	11256	15511	19362	11396	14783	730	2327	15503	1283	919	10805	12879	20031	283	19761	15826	17178	5402	8027	17695	5688	12837	7632	20098	9159	10080	12648	11372	19780	17269	19000	13892	7231	17142	1680	4225	19700	3064	12598	12565	17888	11137	6057	18981	7870	17387	19842	10298	18088	17293	11011	8583	11521	4741
15443	17226	607	6001	16863	10857	11250	15306	8413	8775	516	11375	11864	4094	1203	13054	13196	19036	16658	12228	9307	10351	10230	2174	15811	646	19255	3025	6961	111	13927	10475	15201	70	7758	14048	8297	7885	560	7809	9296	8191	14283	19583	2384	19280	12176	9301	5223	17135	18421	1947	8550	19367	14101	17740	1394	20056	19330	1189	15872	5043	358	485	11286	15511	10328	17640	7336	17237	7082	624	13922	404	17945	19211	2480	2478	12900	13055	3543	3177	15204	9072	8478	4785	12817	6693	11256	11248	282	9666	17453	8541	13819	15929	3825	8954	2817	1115	9924	6000	12072	18958	13741	16474	4419	11974	12712	15099	1147	5678	14365	8186	19670	1868	2366	12010	3620	3059	19612	14619	18104	6484	16890	13671	13764	12727	12151	4466	18639	1533	3006	1869	15979	610	14049	832	9951	16277	3461	5963	13316	7238	15843	17546	5898	14610	19571	6397	10075	11128	8460	1116	20131	7388	6379	7145	2458	3365	5317	4767	13227	18903	6473	4480	7340	3687	10462	12598	9496	15795	942	15766	16986	11897	17557	17269	7072	2555	9377	5205	18455	2809	19700	19842	2819	12840	19195	10298	9877	1191	11265	10389	17888	5486
10336	1604	9076	1970	4943	2076	15535	4760	3823	11506	7210	5287	6396	7554	8986	2359	10857	3676	18356	4429	17788	11994	14496	18558	13756	10523	13705	13538	13015	2255	17189	19720	10695	1815	11606	18669	2271	17334	16836	12451	15243	8825	11058	12868	6115	15841	11644	13685	11405	17272	7655	20097	3370	4650	3574	16517	600	4593	3100	7162	163	15816	17052	11393	10430	10606	6584	18052	16012	19362	621	465	9442	9408	4535	15872	13004	4176	6994	2103	8188	5676	8517	17954	16447	12079	10715	1327	2491	7832	20130	9677	12665	12382	10843	20094	8847	12938	20194	4719	17119	12728	13978	8701	7621	1022	8596	12090	3579	6613	8574	7336	4445	4629	19473	2080	4233	2755	9607	14265	12207	2656	7373	19872	2155	11121	5193	450	19032	8278	117	8281	12634	9430	10142	306	17460	19864	6356	1424	11438	7442	15262	15321	16054	2917	10595	9213	15324	16762	13771	13009	3680	282	12716	8478	931	682	14345	7833	11373	15521	10897	10710	5018	17893	15246	5847	6646	8583	1926	15022	16986	942	16624	9496	4587	15018	4048	14360	3064	11521	2210	10898	4097	19195	13818	4323	9255	19842	19644	17888	11901	1129	6261	8706
17987	14814	18920	6010	9891	846	12510	268	12039	1611	19077	18233	13872	16200	8361	2307	11103	5435	1970	12987	15866	19299	18850	8802	5483	19710	12373	11092	5463	5963	170	8355	13773	9116	10843	15849	18813	1669	9630	636	3490	19649	15192	3258	6374	14941	3907	3354	899	17695	12313	13944	16647	4267	10981	7777	16114	1588	8879	2118	9861	15876	372	9071	18528	15794	16575	16847	16881	11511	17625	19813	4681	19177	12072	646	18338	12739	20105	7926	5243	20172	8209	11538	9547	14590	6916	18479	13504	19657	279	14224	12557	17308	2532	5019	1349	670	16554	15990	2031	4343	10854	17828	7018	9714	18928	6067	19886	17395	18062	19189	16721	9234	17789	9985	16837	7396	10338	3191	1607	12255	13364	13242	12938	8268	4759	18341	16094	6902	596	18316	3548	1159	8644	2899	17646	7547	15505	17457	11707	2320	4815	4080	856	14378	9243	14903	14695	1290	6064	1598	15767	19955	6936	3841	9475	9254	6653	2491	4359	15945	14033	760	15622	19816	12078	15795	10080	16986	19842	3202	18107	10898	3221	18290	11897	7529	2210	13862	17951	942	11137	17120	5486	11901	2618	19517	8583	3064	18308	12840	15022	3871	10389	5477
8705	1715	3780	14446	11152	18247	11803	7841	9146	701	19605	17015	17903	18688	16161	5739	7915	15382	12996	3987	14400	13774	3784	16265	9026	19208	14731	4621	6316	873	15260	16461	17119	4202	3696	3547	7570	1283	6967	18831	11355	359	8404	15709	12058	534	16478	19308	13009	15279	14097	14525	8271	5057	576	2694	7795	11373	14988	5354	9922	3268	5716	12026	1190	12237	19665	5543	17096	12646	6028	5921	1431	6897	5026	18673	11395	3953	20161	6469	2014	11466	10206	16941	730	13438	18365	12458	12474	18604	3581	8068	12936	17486	20086	13464	19048	2998	4046	358	3988	1977	4167	6791	7955	2721	16038	8233	13282	8587	14497	7710	4005	13218	19797	19688	5248	15084	4611	19675	17918	6644	14716	19690	15149	16175	8604	14802	5116	9290	13481	8070	4573	19216	4733	10304	12989	4146	2532	7381	3880	19724	16364	18616	3818	15830	8055	5839	7528	6196	17377	2843	14015	521	12382	11191	11097	20107	18638	18454	18074	9714	12264	6849	1515	7039	4891	15731	9378	15795	18455	9255	7728	15246	6261	1320	4097	18069	3221	7072	12921	11137	9377	19435	882	17843	18544	4323	17557	18460	18343	2842	8583	6616	13818	10672
9529	18463	11261	12279	13031	3419	16019	12724	5904	7818	5915	12693	6416	18296	10530	8568	16793	14968	17331	9094	1585	7907	19923	6999	12586	3339	7481	5169	3947	4083	13187	5818	18032	525	16730	12999	13756	9985	14001	3618	4988	10541	5061	3279	425	19471	18710	11226	12976	19950	10229	10248	6106	3104	8967	10757	15030	3219	9682	1481	13191	149	11874	3743	16711	16163	3760	661	4884	15245	18291	15305	12366	11762	13135	11892	12661	5769	7781	1649	14619	5473	2820	99	19154	8279	1665	13541	1462	7037	1631	4511	11048	4592	13912	17219	11656	10968	15097	15836	8015	763	8528	8846	19251	4024	13582	7752	11815	11268	16927	9192	5749	7079	4212	7565	16937	2111	7212	4435	5063	10581	8415	4690	15749	12424	2436	1990	19702	18617	13575	11156	8989	3940	11040	15153	7203	10725	9160	5462	17871	3708	10396	7428	14232	0	2963	15530	16167	7659	16121	2793	9147	13417	7621	52	10748	8071	7874	4139	7696	14435	2183	3976	14522	18478	17390	8583	15784	18544	17557	17387	1129	3027	7529	11897	1744	15795	19763	17120	18107	11560	7231	2638	1444	1706	3064	18092	8100	2842	12565	19991	6701	10898	4617	4741
12714	9741	18170	1611	14990	13031	15742	14385	15341	9970	6717	17967	12920	1464	5400	14806	3823	8039	14254	1741	2854	10276	12573	16217	5821	2327	10100	459	13005	867	19900	12149	4407	15271	12053	10443	9093	689	5989	170	1661	12024	3012	15807	7988	4695	17024	797	14863	9814	5600	17273	6469	9366	13148	11839	11477	14918	8056	14429	1809	8393	4160	13711	17894	700	9373	6108	8716	12402	5163	1986	74	12210	19032	12938	19484	6508	6202	3261	5557	13764	10675	16649	293	11083	9266	14546	12412	18705	10004	5512	14280	16171	17362	3271	3017	19823	359	19437	12019	19611	3110	596	19278	939	1710	18632	17950	10818	1321	9621	19472	4742	19898	13264	10730	2088	20204	4793	19505	6943	19932	12092	17455	18574	4123	8599	6994	2841	470	15199	16110	16004	2905	16663	4319	9327	18964	13209	19920	18675	3036	7897	8662	3176	1438	5646	4109	10970	16159	9653	11334	5003	20028	5330	408	2059	17053	4960	13505	15370	17151	19719	17322	19081	11137	4048	19517	18981	10002	18502	4096	15108	11726	12840	18625	18938	2819	5847	17244	12698	12565	19195	15731	10672	1444	17007	10298	4617	9377	17888	2618	15022	19000	18088
1172	13158	402	5362	11382	5866	11848	15086	6152	2510	12693	16520	9417	2623	6170	2732	19336	8608	11613	9248	5602	19931	19276	12158	15599	2810	7900	5856	1110	7299	9353	18321	20164	17992	9519	15699	19335	6551	13401	1918	11627	149	17267	5592	15690	12328	15908	4270	15855	6334	17008	12835	5648	2301	17091	11054	16369	2962	10797	11438	1986	3876	15121	12212	12729	12518	7032	12246	17498	14522	2456	12206	2694	11404	1983	14936	18875	14168	212	8832	14130	17365	4787	18885	302	5340	816	10304	16853	20021	8388	10259	13927	1058	7396	10460	8953	19509	11837	19380	8858	8266	9125	16195	9028	17308	20002	17295	19068	7623	15947	12708	4263	13717	13681	11609	3824	20009	15494	10509	10381	19314	8834	17786	11596	3887	609	3344	10045	4776	6014	15863	4139	6697	9950	10821	19752	9943	10308	4073	7794	16174	5279	8862	10910	7006	12210	18611	3821	16016	4001	2392	13081	19088	15914	16006	12930	14639	1696	11785	17354	17372	1730	2385	18668	16193	9255	17244	19143	6646	1444	17206	12840	5784	8252	7231	11137	13177	8583	4048	6537	3202	12168	10465	13563	19517	13573	10002	19000	7340	4741	15766	12078	15491	9756	10389
8133	18120	1635	7818	11409	4417	8054	5036	19052	13600	12113	7996	8152	18410	13263	12349	7108	9395	15339	10894	19564	16717	19074	10956	10556	16406	10177	3204	19732	9835	17643	9252	9646	4	9125	390	4678	2684	8918	15550	1771	11784	6279	8522	7584	20002	16810	8693	18028	3262	13368	16628	11244	14426	17736	13123	17223	17305	8520	18869	16358	5349	1173	1679	10599	11693	19683	6454	5602	15608	4769	14052	14107	8269	15185	1781	5829	12091	17295	4530	9181	5798	12215	13191	18396	10409	12390	668	9160	15537	7531	2955	7845	18117	10035	1734	17986	1695	13389	16828	12353	1356	16415	18014	6812	9166	4776	16168	14109	8737	17620	16794	17046	9456	7736	3509	4665	17753	332	20051	10961	10559	12049	13417	1815	12250	11288	7886	5126	6303	648	18312	10903	12833	10836	15788	15611	10981	3137	2964	12145	7386	4427	8186	2802	16229	1907	17335	3080	11094	5581	10450	5499	11390	4470	13204	19567	7719	9971	2768	20102	14614	12492	10498	3140	6291	4617	7231	11521	15123	616	7870	11011	12698	15731	5205	15809	15795	1336	7728	17077	6537	9378	6701	3871	1706	9377	13892	15246	18092	6057	19143	1680	1926	3687	15701
13133	17772	10940	19502	17699	14814	20085	16743	19183	15091	9585	15575	12799	11964	1724	5281	9132	4216	2968	12614	9538	8785	10736	11830	1621	2664	8112	7019	17455	983	9048	19922	6677	5725	11296	3889	12883	5897	2892	19632	18918	10029	13385	2746	10585	16816	8008	8231	15349	15426	314	7555	10395	17554	4280	15432	2945	2106	5336	16790	1808	9590	7973	5223	537	10882	8226	4897	7948	18987	5003	14742	14500	1861	2974	8552	823	14652	16709	7492	5704	4801	8729	774	8577	13593	11644	15133	12775	16607	13288	2458	15611	8760	3076	12426	11974	17151	14913	9837	15228	1652	12924	5940	15293	18699	11984	6745	14985	16553	14871	2617	18988	7619	7642	6033	306	3095	14165	19463	409	750	13889	4835	8304	953	13857	296	4719	11376	521	15607	14421	14522	3295	11641	4165	1563	1549	10995	12479	17362	7902	17930	15192	18186	4455	16413	19126	2430	10148	19012	17397	5678	8116	3010	19594	6144	13764	5967	7313	14053	18860	7346	20190	10260	6438	2961	8855	4587	19842	12598	1168	19195	7085	6616	4700	3720	3340	942	19991	14226	17142	19378	19000	10002	16986	4096	15701	16130	11901	18502	9496	19780	5785	19435
