14683	9566	14842	4735	19658	317	6011	4753	3113	18160	6420	6765	18745	14299	2932	7503	4126	13706	8964	18817	3177	5781	1515	8240	19462	13705	17428	18985	17402	1293	11933	15790	1946	2592	18587	1865	3443	6038	18548	19695	14244	2171	3466	17623	11481	15687	17789	1352	10374	9330	1579	17689	7783	14849	3004	4562	7372	11373	8527	6596	17393	10417	6742	5528	7359	4220	3217	8627	2268	9837	8967	15485	9618	11244	8714	13542	6483	16154	6570	13621	10127	15279	7118	18272	2016	689	11431	20073	4073	7375	873	6229	16901	10343	4731	2064	17227	10881	14782	12052	13092	14360	8706	10898	1168	6701	5847	5205	11521	19517	9377	10856	10080	18092	7529	6616	18107	15246	9378	17007	17293	8252	15795
5321	4605	12709	3753	18322	13070	6300	5418	8425	1750	5359	6464	6093	9173	16311	6014	9648	1364	3597	2919	10832	19505	925	19080	19251	19443	5949	19141	16995	16267	10707	16672	19073	16024	3086	1987	6075	2356	10804	19166	3487	8048	16595	4224	6598	2111	15138	12897	9534	8501	14233	12522	16545	4443	2245	18632	13490	9351	2915	35	13362	2339	16426	15566	4328	19941	25	642	1400	13227	12888	3472	16054	3591	17907	8879	18735	14815	13719	3456	2152	7731	3507	17853	4242	15069	927	13849	10552	8339	7898	1913	5326	4750	3059	7958	6802	8115	16746	12849	15491	18799	11728	5486	1168	12078	10389	17142	4134	6616	12168	3720	19378	1926	10672	17120	18938	7728	19517	3871	15701	8129	14360
19328	1791	13643	6619	9718	16688	14751	10622	945	11722	9950	6645	77	16757	4755	7756	900	3558	19979	14552	13375	678	5650	14268	17143	2171	4479	4968	8458	3889	6109	11299	4783	16653	5889	12364	17301	6847	11092	6352	17599	16779	11397	20192	9108	4961	8599	12728	11180	9394	13380	12170	16393	8563	8071	10606	14549	3937	17554	8869	5661	4422	16388	11074	15650	1485	12922	867	6478	8254	18565	10820	4644	5607	4153	6839	8141	19472	17353	11292	19757	5591	12316	7175	3271	7649	13515	17341	3445	9643	8654	18446	12325	17780	3680	9309	8386	7570	154	14483	18455	7728	6710	7870	5785	12168	10898	3871	18981	15018	2210	3687	8706	9378	1744	19378	6616	9255	14360	5477	19517	18544	975
17331	18257	13848	611	14762	2729	15315	14067	5389	11414	3501	908	17785	16744	20204	1958	5852	9644	11779	10954	15235	483	14327	3796	14293	14323	2124	5621	12586	4568	11474	2011	14618	10457	13515	7379	20056	12443	11256	7858	14109	7480	3176	3857	15922	9080	9655	994	11424	17312	19915	14632	15633	14519	12527	18477	1302	15158	17828	10623	3947	2092	10929	17927	4267	14525	11365	9123	2379	12913	18882	1232	10565	15567	8310	2588	794	8388	6389	11031	18305	14921	11202	1556	6598	9694	12117	19178	19835	19084	19445	14213	299	2739	7624	9513	10187	17648	15823	5646	15491	19780	10442	12921	13818	9756	5784	2210	17888	18343	10080	19991	10462	12565	8100	17951	15246	17244	13177	1168	11901	10856	5785
10489	7331	17574	9440	810	12747	10978	9177	19904	8273	10950	19861	9450	8179	9858	18400	1733	12999	18017	14370	18392	19078	7779	15216	8533	9306	8935	12276	19816	16178	16330	904	11435	6704	5207	5856	9967	20110	18556	12530	16061	11885	4574	748	1415	9016	18433	13027	4350	7349	1379	10314	7672	7483	5252	10243	1636	6199	20107	13513	3164	12705	16657	16073	3431	19280	13405	14985	5610	6499	12489	19394	2924	1118	6545	5792	9782	5668	6093	16731	1894	4264	4231	16198	8517	18188	5056	17128	13306	15377	10045	905	12668	601	9168	14421	15207	14875	5350	7385	9255	6701	9377	14226	13092	17280	11521	18460	15108	2996	18799	13177	15784	19435	8706	16624	1336	2210	2842	1926	12168	3871	8252
3795	17013	2968	14450	17906	2744	13482	10956	1665	1839	16463	80	13453	19683	4082	7573	4746	13009	7752	10151	9516	19462	12295	2851	1016	5897	12182	17639	15145	6897	5922	6949	5152	11827	10663	8224	1224	19634	3961	4614	16186	9943	2073	10805	1261	11468	6906	13222	12438	6850	4391	8592	6816	16109	7027	17411	2836	11795	1726	7584	3498	11485	17065	9502	11948	16299	4236	10212	19405	15703	16031	4511	1719	5389	10351	7110	1315	8791	714	13870	1990	14335	4002	10077	3461	13303	1231	2346	18241	12836	3805	16716	12352	20018	4272	4156	18135	20029	9276	7062	17142	4700	16624	13818	17888	11521	19517	7407	12521	10672	15784	18981	7529	14360	7870	8129	3202	12698	19780	10462	8252	1336	11901
4874	1106	8505	3982	2370	18668	11644	9915	13653	15611	15487	10910	11764	14631	9607	6165	9035	20020	6896	3603	6971	2058	8916	5296	17890	19761	12296	4446	15305	80	16501	4855	12557	2252	10803	9287	13728	16363	18014	9829	1891	8250	18037	4143	17378	14770	7345	15266	6791	3608	5962	6920	1710	13365	9168	2890	13999	9219	5000	17653	12988	18503	6994	11246	9766	6742	15590	9931	13351	4435	11045	8269	11300	10240	4209	16075	4119	15520	5536	19393	8968	13815	7475	15264	4391	3125	8006	16393	3754	8275	12352	8292	16968	15217	745	3348	5071	20104	7027	2064	15795	3202	5205	12648	6537	6710	5784	8129	7407	13573	7728	9159	13892	10616	11726	18092	19517	16130	2210	8583	18981	1926	2819
542	2732	11959	12884	7323	14099	16687	8645	3928	19180	10635	15786	19589	15932	3283	6008	12476	5305	4168	154	9406	19498	19732	16390	7057	13883	13307	13538	15981	12353	3905	9027	1002	4882	7049	13072	18832	11087	13569	14934	2727	5636	485	19577	9800	14047	16188	8038	15038	6196	3218	17164	6892	982	20009	8173	10416	3756	18478	4267	16826	8371	16551	8056	18690	15846	19208	2596	2268	2016	1756	5123	9618	14449	10043	14413	2364	2490	11617	6899	5496	19664	1906	12552	2655	12270	7217	13470	12363	17411	16545	7166	11333	17443	12470	4856	12174	333	7642	4753	13892	3720	16964	7250	16624	18625	5486	2996	18092	15246	13573	18460	17120	3202	4700	13563	6701	12821	19780	17557	12168	18938	10616
18083	12406	16304	3840	5086	9422	10254	3055	19021	9266	14988	2046	18163	4091	6639	1712	14279	16109	13558	9736	5876	16720	10633	3205	2821	4527	529	10716	13748	12960	8940	6238	13910	5893	5186	3002	13701	19271	12845	6795	6738	12592	3962	2845	15691	15429	10873	17046	11531	4402	3955	2146	11138	1427	6249	16124	8965	15070	18880	17344	17277	1227	411	5436	11192	14123	16341	17469	697	4660	14878	4764	4623	16706	13943	18763	15840	15479	18563	17154	8476	10411	8253	15735	8785	680	16634	19380	15753	12162	7561	18930	9731	12848	7808	7616	5514	4873	18921	89	14226	9378	1168	9159	7250	1336	7072	18981	16130	14360	15018	15731	7407	15773	6057	7870	18997	11137	17280	4617	13092	10898	18460
16668	12756	12771	20030	3777	15037	19745	7747	11711	18042	17381	14779	4921	870	609	18825	5570	7038	1065	18575	19059	3499	16443	15889	12516	3914	20185	11555	18400	9136	5296	10065	3872	18713	13885	2722	15982	15089	12305	16699	4541	5591	10670	16102	14372	17688	19041	19116	15331	13865	13211	2376	11993	4589	6192	12829	11800	3290	15523	2989	18850	18075	5538	14623	19080	13575	3846	13343	2689	4750	18189	10430	1340	16048	14656	10713	19482	5803	2558	16713	1990	6359	5977	7333	6583	13661	3497	8547	16965	13114	17091	1913	7605	2935	6319	16617	15759	14492	11336	15002	14360	19991	5477	11137	15018	8583	15246	10442	10462	10616	12840	4134	15795	13563	18981	7870	12821	2819	9377	11521	2210	7245	9378
14304	18279	2798	3383	5803	7357	273	13731	16976	3533	5225	16760	480	15436	12729	1372	9359	6229	8570	9485	15442	7220	15202	10019	14045	1955	6877	16862	16853	15504	5834	5049	16226	9123	2299	10049	8534	678	913	14077	10891	17317	13089	7540	4633	6291	15589	10411	4139	14646	11410	13482	2443	16687	17000	10206	4800	7901	17297	5828	9500	16954	1288	984	4442	9969	12469	7327	17295	13169	4625	887	17607	19084	7505	17126	4313	15832	14532	17742	7052	5887	5523	16774	19118	277	939	19290	4380	13797	14849	122	19278	7990	600	13544	18104	6929	11130	9725	12648	19842	6537	15795	7340	7529	18343	5205	18544	17888	13092	14226	12078	16986	1168	10898	18092	17951	9255	5477	18455	12521	11726
19776	10106	16793	10095	9375	16800	14626	2181	6904	3193	11735	18096	5104	152	10453	15951	11952	19678	1164	2433	9722	9841	7059	2722	15131	14114	13154	5033	15140	3716	6580	11600	19714	3942	8189	3566	11972	704	3946	9033	15642	11961	10816	13874	4951	8816	13320	10738	17249	14214	9052	6082	7560	7508	10601	15996	11635	13311	9271	1666	6294	6171	4378	16187	3962	10472	12250	3444	5434	8549	15517	1665	14742	2250	14156	8671	3587	18988	18059	296	6275	5652	9480	16461	16657	10317	5789	15762	10250	9904	3993	18376	17479	9031	6827	6572	5961	13247	18304	2582	7245	18343	5477	19991	2996	10080	18107	15773	9378	17120	17142	19517	17557	13892	12840	10462	8129	5204	3871	18088	2819	1129	10856
651	7714	14983	17413	438	14993	16515	3639	10038	13050	16950	653	12561	14648	7211	20024	1588	3913	9164	17087	17308	4083	15984	1143	1360	16976	6099	7651	727	7438	19162	4670	2341	15131	16770	15554	8208	12707	10923	16391	16037	16159	16045	18177	9434	18005	5641	19719	7630	14846	18389	11665	19166	19205	17432	7166	11061	9941	15261	10317	5621	9227	7664	1013	283	18951	13504	12005	7713	16271	620	19019	15114	14773	13140	9083	1912	4746	1860	2762	12655	8570	6731	2152	16027	18563	19250	14713	2322	16934	13980	996	11248	1349	2089	9767	15405	3809	17861	14552	15491	6537	13892	13573	14360	9159	11521	18799	1129	12921	2210	13563	11726	7407	15701	1320	15108	5847	10389	1926	12821	18092	1336
