9332	17200	13992	5196	18181	1855	12115	19051	1546	3540	17989	11771	17885	5939	5843	421	15269	13410	2458	19270	3575	4236	623	8343	655	1672	19973	6155	14334	19703	17224	9646	3398	19889	6920	14647	6651	6260	2346	3531	11300	952	12835	2268	2896	2306	4787	8914	2075	3635	429	7791	3071	5052	17479	4173	5757	5279	12236	3193	18225	9992	5781	16830	6040	5726	12176	507	19507	19505	18836	11627	1642	15098	10279	2676	11139	18679	9441	3385	10828	9198	4923	3216	15984	11799	11288	12235	10671	5769	13047	15059	1827	16819	5163	6487	14613	12287	6229	19566	12227	12573	11366	15824	2556	12492	13225	18753	17855	6838	1868	12168	17244	4096	9756	19435	18343	14360	10616	18938	11587	15108	9255	13177	8129	7870	17951	17007	11521	5785	8252	7250
4431	19390	15993	16227	16511	18697	11330	4272	8540	16117	11205	6765	10304	6201	44	7928	8193	14128	7954	16077	9183	5787	12253	3339	18708	17372	2382	10859	16934	668	14320	1530	13749	19187	1302	7046	16736	19675	674	11986	15038	19223	3839	5	8713	11686	15693	12112	19522	5764	45	11285	18696	3548	17277	9107	4667	18396	18284	6389	967	14295	13279	224	12891	1880	879	642	8132	3324	17407	1992	6212	1211	4099	3425	10218	19542	19592	13118	13663	1187	18737	9333	9316	14773	19076	74	2899	4589	11596	1886	3579	15359	18611	3972	3198	17754	6667	3954	10533	15373	3889	4447	17464	17641	19693	14444	18266	16024	18132	18455	5486	10389	12521	7072	1320	12698	5847	12840	10672	13563	17557	5785	13862	2210	3687	7728	9159	15491	16986	10462
15466	11114	8595	9347	14806	747	8455	3502	8363	19703	5027	14953	13622	13279	2538	619	4665	10635	5919	9846	861	11896	8523	5028	18796	2166	10243	8716	17310	1941	9568	13974	10206	13852	2327	5695	8550	5296	10798	13521	16710	15327	1316	14392	18763	12103	7508	16548	19535	397	19410	14675	13769	4509	5547	18512	2002	14701	3910	4893	15805	18541	20191	13324	9966	15432	6563	14762	19086	18751	19943	17432	771	18646	19044	12735	2526	3228	683	12149	12352	7452	16868	16583	15982	10805	20154	4347	646	5187	3216	6355	11497	17377	15099	7353	4082	8200	16574	19954	3600	13602	16121	12401	1746	9940	8863	18909	4078	521	2905	13818	19378	3687	5477	2555	8100	18308	8252	14360	17007	10856	18799	18343	10672	13563	11011	6710	4048	1926	7245	19435
10863	3550	19633	16503	10178	7458	13034	17711	4759	16985	4884	18499	13903	625	17346	12295	1506	15118	12976	16067	17833	490	6232	15615	8256	5021	10429	2670	13728	8731	3667	1195	7930	8409	4487	10028	146	3335	18291	17273	6019	913	3954	7765	1615	5420	9943	8846	12672	13089	18889	14289	10157	927	1854	3938	14708	19752	19511	18261	1642	11310	7091	321	5499	12353	3783	14730	8021	6753	3774	19068	16735	8119	17854	18934	5201	7505	18960	3788	6432	5066	14726	9443	11452	19749	11314	2268	15205	17554	15415	712	2613	4066	15238	13701	11101	14945	10637	4163	5656	14776	15001	15821	11794	6844	11811	15982	9510	6696	9051	5205	7340	8706	18460	12168	11728	12078	18544	12565	10856	19378	6616	4617	12821	13573	7407	15731	16624	14360	3687	3202
1605	6368	19382	18027	17916	5146	19874	12646	4500	5173	13922	11518	48	7581	10333	14352	17929	17567	10675	13212	4689	6274	18823	11163	7851	1882	2448	12915	2885	8461	8218	13979	993	2599	3366	4199	13894	17821	12087	1387	10439	3728	4566	4261	10653	12217	2542	19216	5990	18134	17437	5359	5209	6234	6905	1390	2385	9600	13042	15431	4384	4005	19171	19015	5583	9021	15811	236	1780	14326	9369	18468	13671	11626	12783	16755	314	10591	1633	3255	9760	14985	18090	14280	3066	19057	10901	16459	4824	6705	12872	13502	9555	9757	9049	10781	17634	9160	7603	5184	14548	13394	8872	15686	13335	12347	7017	19771	17737	7313	14728	9378	18069	5204	4617	1744	6537	13818	3687	14360	10462	11521	7340	2996	10672	8583	18290	5785	15701	5847	14226	18107
12011	1855	804	9545	10650	14860	15190	17165	13226	16195	17665	7473	295	19122	5389	19748	11926	17012	13357	2152	5705	4024	8269	18879	13768	11922	13009	6654	13146	12047	13841	15948	17246	6332	18002	1396	1309	6289	2709	13479	10366	8893	3316	5166	7203	3819	20014	4997	2058	7505	9807	8272	5933	11749	17378	9101	5432	8404	895	4689	15839	10127	15705	828	16758	2195	11833	18062	1808	8850	9962	6652	11306	1776	2702	5757	10150	11933	9093	7358	16428	642	13252	4280	10215	6089	10228	17323	6744	1198	12913	15236	8506	2436	19120	12621	2673	14987	13291	1467	9659	11323	1688	15216	10068	13881	7394	18157	3593	17827	15144	18544	17142	10442	19378	2555	4134	11137	1168	17951	1129	10856	6710	17007	1336	8100	2618	18799	1320	15731	10389	10080
14843	2798	6569	12503	4760	19090	105	8474	7694	7702	3800	19761	19911	1763	18718	19532	7013	9327	19977	9028	5374	19606	10859	8408	18019	17918	35	19490	18875	1243	15686	1340	9985	12251	2014	1696	6350	8339	2347	8861	12319	2301	14191	13881	7403	2153	11312	8802	16336	15573	17658	19862	2844	15695	5525	13247	17510	14729	1907	2195	3404	5134	8086	5137	16134	15855	19358	18909	9666	332	13393	3524	12478	18536	3159	9056	19666	6303	11230	10034	9351	4521	14539	7415	3764	12129	682	3253	5623	10588	11361	4281	958	9394	10100	2102	1966	14242	11976	18589	15202	14410	5329	17541	18680	3431	4453	1012	3096	12579	13557	11726	7870	8100	5847	18544	16964	11011	1168	4700	13862	16130	6537	18938	11587	18625	19842	12648	13563	10898	13573	975
13014	846	8845	9783	2585	14842	7108	16902	4533	15444	18794	18708	19876	14748	9077	3042	1868	12888	7754	6821	6196	1864	19731	9436	9157	9769	9493	2213	17543	506	19414	16828	5134	13287	505	17606	13435	6039	20200	327	16613	5871	4886	3898	10227	1584	1656	10259	7020	16950	10326	5445	12458	15356	13555	9345	5443	6971	18236	15156	4806	5252	14875	19332	1644	6187	7702	1021	10832	2443	7218	18313	5354	17570	206	17205	19065	18426	7099	16723	8923	14518	16221	14427	15311	1887	16640	18680	14279	14012	13544	5955	19881	14504	16324	1718	14807	16310	1012	8201	6588	12923	3285	12959	8004	5513	14462	9818	2123	10428	16422	3871	12168	19195	15795	15108	12078	18290	2996	18343	10298	7250	16624	19842	3202	15018	10442	7407	942	4048	12648	5785
9186	9773	15907	19831	7640	8634	19430	13805	17438	3697	11414	19676	19399	18600	10773	11558	1655	5283	1577	14162	19557	19366	8974	10501	759	11513	4988	18462	7755	3087	3055	9966	16836	2009	15259	17746	10759	11251	16066	10395	14978	1511	12953	14779	14351	7908	81	5620	5027	5528	2691	18861	14590	5271	19756	2091	8816	10237	9871	4822	10087	19012	4306	8639	13304	13425	14653	19736	3086	14953	14280	1628	12364	13716	43	14827	10523	569	1913	2826	6234	1673	8872	1329	5561	11220	7254	375	1663	14419	5201	9963	1344	5517	12430	19219	12562	9221	19850	5834	9662	8717	17488	18498	18854	18025	5942	10008	12952	12144	11158	10898	1336	13563	4700	7340	16624	17557	9756	6537	2842	6057	2618	10389	18308	2555	16964	10298	5784	18069	13862	5204
6032	16370	11756	11886	5948	16863	18048	17040	518	206	3362	16579	10475	15822	11815	7341	8869	13914	12215	10221	16354	9404	19522	553	10304	5877	10786	12183	12632	9057	7522	5184	19852	2334	13279	14752	13192	17342	16999	4166	13635	7432	3804	6435	2651	17182	11024	6019	7752	14781	5627	11548	7874	1637	1588	16112	16291	18103	8541	1509	16469	14123	17650	2739	2254	5288	14749	18669	16324	9394	11481	14844	17527	4314	7164	7459	13406	3825	867	11633	1288	339	359	9243	14823	18265	3269	13582	2759	15071	13980	446	5308	8065	4845	12170	19153	10000	12850	13185	19906	19148	11355	16961	12652	14580	6911	19693	15002	2550	3656	5847	9756	18938	12921	17280	6616	13092	18625	8129	7245	19143	2842	4096	18088	5785	18799	11587	11726	1129	4617	5205
