1117	9417	8306	11510	11829	10468	18477	3808	15608	17070	2293	9423	18709	7755	2362	2068	8710	7045	3428	4711	10157	5270	9465	10471	16628	10582	8980	15511	748	12324	1562	7338	798	9848	15052	13039	6758	3554	14483	15752	9556	19888	1150	7563	11780	14861	6106	354	7702	884	11248	4960	2143	9136	15749	17926	8458	2207	1402	11739	19514	17478	14225	9002	4390	12567	11101	18705	20056	2558	14357	17930	8641	18152	4224	6583	6196	10978	11394	11990	14986	8563	15600	14979	11545	1371	10672	1129	14226	18455	18981	16964	2819	1168	17843	13177	18997	4096	9756	10389	4741	18544	8792	17557	17244	18088	9377	6701	13862	19780	16624	2210	19517	10298	17120	18092	10080	4134	6616	4700	5205	19195	15784	13818	15701	7072	13092	17888
10153	15044	7092	18233	13460	14559	4182	19757	7998	17286	4572	5757	15527	8847	19221	10012	5961	5038	10469	15977	19306	16393	7743	4511	14633	8527	11772	714	4726	11162	12830	19300	8711	1238	15702	9548	7446	11771	12790	1381	18232	11016	16784	18542	19474	2223	10458	10147	3450	17788	6397	20099	3366	3325	13430	17675	1751	741	14400	11298	11830	11987	9193	5170	9677	17904	4059	137	17300	15000	16369	3315	18143	5410	12452	16118	9600	13819	18321	3786	1641	17878	4276	12409	5237	10253	9255	3687	6537	7728	17888	7407	7245	2210	17843	17120	18981	18625	7529	6616	17142	18092	7250	18544	18088	12565	16964	1926	17557	13177	17280	19842	16986	12698	7340	8792	12471	17244	6710	12648	13092	2842	3871	5204	15491	975	15773	8252
17708	1634	15466	12886	18584	1110	3435	16321	11681	208	925	17119	14245	1224	2558	919	3084	10169	18316	9628	14881	9516	729	12552	4634	15313	16320	7527	9298	5829	19473	19797	6782	15767	1052	18869	148	18893	4822	7017	8685	4889	10591	1885	10148	6482	19747	1642	12586	17929	18374	11287	5545	9780	16902	14351	8910	4390	14439	18211	13731	11784	7744	1418	20161	322	3337	5298	6639	18850	13105	12786	2778	1677	17838	18416	2268	11696	14546	11645	15787	4453	19381	7220	445	4753	9756	6616	18092	19842	2210	13563	7870	7728	13573	11901	18997	1129	19195	18343	19991	7340	12921	18460	16964	15246	15108	16624	3340	11011	11137	12821	8129	7072	19780	11521	12565	12521	11587	3687	4700	17293	18625	1320	8706	1744	17142	2618
6634	2113	3303	18181	16330	18590	9192	10048	5907	18135	3125	19377	12962	12871	2506	7901	17345	7877	7114	13441	7165	4380	10912	7733	7391	3093	5141	392	8336	20086	13205	17360	12953	10314	17535	14501	11740	2821	19451	6850	16869	6310	600	16335	19873	13515	3262	10897	14139	6967	8827	2050	9686	19469	11628	7180	20194	16794	5162	10503	19665	4785	166	6663	10881	10947	11162	1591	8431	16817	12680	19222	9330	4692	13430	10869	9157	13281	13856	5116	8577	6201	2646	806	5487	9079	13092	17843	15246	3720	13862	17557	7340	4096	5718	11728	2996	11137	3687	15701	5477	2210	5205	10298	9255	17888	10080	2555	1926	12821	18625	15018	10898	3340	8792	3202	6710	17142	4700	18938	16964	19195	942	2618	5847	12168	13563	8252
17797	15751	19847	19054	2295	1016	16690	11397	14179	7901	7035	156	2507	9969	6508	20107	6363	4148	7584	15534	7125	17317	8750	17530	18820	4138	17489	4246	7042	4083	11513	18610	12910	8808	202	16653	9194	12443	19801	569	1143	19635	10559	12249	2777	4534	2624	7656	3816	17455	11967	14681	6358	7767	13526	14435	2240	2456	1600	5470	19463	8340	7346	6321	6794	12431	305	18370	6250	18908	5544	3820	16330	1819	19862	11313	15843	12377	4627	10995	4034	8312	274	12192	11784	13606	18981	15018	6710	4096	8583	1320	10298	7340	19991	17280	13892	9377	3687	1336	18343	19143	18799	4700	4048	10462	18107	11728	975	12821	8792	8100	13573	13177	18088	11521	15246	4741	18092	18455	10898	11137	9159	17557	17142	942	7072	5718
19584	105	7824	14275	20110	15288	5588	5368	15444	11246	4485	15099	10811	6718	4829	16193	12845	692	12915	6219	4452	9261	7568	2269	2994	1375	7605	5708	10156	421	16762	9465	7240	7555	9447	8680	13894	6939	7570	12787	14904	497	10075	2861	11493	428	2254	374	1573	6644	958	17664	6038	17558	10773	8698	16367	8571	17219	8823	10803	2283	19757	1750	12483	1563	17043	14911	11217	5616	16608	19996	9404	10695	20066	3954	15667	13910	5080	7906	8471	9830	1768	7642	14699	5983	1129	16964	17244	13177	19143	12565	3687	9255	9378	19195	18460	17120	12168	19435	9159	942	15773	11728	7072	7870	10298	12078	5477	4048	7340	3720	11011	2210	8792	17142	12921	4096	18799	19991	11521	13862	17280	5785	13818	10389	19517	11726
16658	16632	3488	18771	19822	1615	8613	19447	7853	4783	15269	7583	4443	8049	15129	11251	19904	3822	17893	5840	1407	9207	8782	16957	13055	6323	15740	12235	17714	233	5829	17527	11961	12573	5771	4767	12690	15540	15055	15871	7802	18833	18300	6839	7837	4746	17728	15479	13589	9058	5519	18236	19484	18158	19747	1265	7150	11017	11606	16991	243	19019	5177	10765	5523	4123	1454	19865	9775	17474	8204	1155	14340	4	12241	15053	3226	9543	8732	394	11168	12954	9072	3185	16956	17831	10856	17120	17244	18625	4617	12471	12078	7407	9756	15108	11587	11728	7728	14226	17951	7072	5784	16964	1926	10898	16130	19195	19842	4134	15246	5204	5785	1129	6537	4700	13092	18088	3720	11011	9159	13892	18938	5205	8583	17293	13573	15018
6218	17324	4908	4366	17656	18619	10598	3124	18513	19312	12610	913	8285	13017	4350	9242	14906	7125	19072	20054	15037	9409	15821	10675	11981	6661	13649	14208	6046	3754	18741	5993	1557	5537	14183	14249	14283	17979	12010	80	17376	2730	7869	16864	17516	11170	7788	15008	15074	59	12694	4418	2468	2279	14381	1770	3908	14268	1869	7226	7506	5566	19871	8652	17085	6467	12672	15179	16171	4871	1506	10858	9719	5541	14625	6202	515	15990	14177	20042	7553	17554	1845	15788	5926	1633	13862	19842	2210	18799	12168	19517	12821	16964	17007	10442	2842	12921	3202	9159	15491	18544	7870	13092	15784	5486	10856	4048	7072	3720	18308	4617	15018	3871	9378	11901	19195	18290	12471	10898	3687	18343	19143	8129	7529	7340	18938	18997
14720	17226	19090	2380	10563	12352	19693	10203	19290	3381	19019	6511	5570	17877	11041	13382	2845	13216	6977	17072	17943	8201	4898	18511	4453	11244	11976	13326	4704	3214	5359	14900	249	14911	8974	12204	15919	19154	3623	12535	11835	2148	10343	6142	16499	16568	14079	14718	1147	8565	1538	4091	4766	5988	7943	14494	4696	17338	12006	13342	16903	16431	5437	13502	7694	5065	14371	15192	16054	715	14784	17945	12401	17712	3220	1141	12157	12530	9602	19410	14624	17122	9404	10277	14544	17889	4048	15701	13563	8583	17888	17557	5477	1926	4741	17293	12648	11726	2618	12821	3720	942	10389	3202	18343	3871	8252	15795	11011	17142	10616	9756	2555	12698	12168	1320	7870	19195	975	8706	10462	15018	6701	1744	11901	10298	17951	17280
14294	2113	8867	3266	5009	10280	4424	9316	11662	11594	11101	1982	682	8195	9896	2700	11615	5157	3847	12316	1662	6846	2835	3026	526	11532	17114	8000	6301	14420	16616	12661	18445	6695	1132	8056	13764	18280	15909	1753	13812	18367	211	5211	674	9048	3957	14418	524	17266	5583	17317	10971	13220	13073	9033	19415	13807	4209	15321	3079	16113	6795	15389	13508	17788	4842	18933	10931	281	664	8369	3374	16845	14120	14667	9031	19577	2236	17402	15686	11020	12188	5285	11187	6219	13892	7728	10298	19435	5718	9756	5204	13092	4741	18544	19991	5847	11137	9377	7529	4700	6537	6616	16130	1336	10672	7250	5784	3340	15701	942	2842	2555	19378	13177	16986	15246	3720	7407	18981	11726	11901	8792	10442	15784	12521	5205
